Id	Label	Num
15715	professor sir jm thomas	0	
9542	professor r linford	0	
41001	professor kj roberts	4	
775	sir j baldwin	0	
3146	professor i coldham	0	
12161	professor nw paton	2	
44685	professor p watson	15	
107996	professor d a m smith	0	
50350	dr d crowther	0	
735	dr n baker	0	
11861	professor t oreszczyn	4	
61489	dr s pretlove	0	
16157	professor jr tyrer	3	
2994	mrs a clarke	0	
15901	professor dg toll	1	
69155	mr b attewell	0	
5724	professor r garigliano	0	
595	professor p attewell	0	
21842	professor r massara	0	
9898	mr r mack	0	
21740	dr p szalapaj	0	
38404	professor rm kempson	0	
5638	professor d gabbay	0	
2981	professor dw clarke	0	
37426	dr mp henry	0	
10810	professor a michette	0	
44389	dr e turcu	0	
2194	dr c buckley	0	
6197	dr j graham	0	
23852	professor ag atkins	0	
11080	dr bd moore	0	
6925	professor a harvey	0	
21959	dr g medrano-cerda	0	
277	dr r allwood	0	
34860	professor g leggett	7	
29791	professor re critoph	4	
9549	professor pf linington	0	
16019	mr g tripp	0	
14612	professor cg smith	3	
39534	professor j chapman	0	
10686	dr s mcvitie	4	
5181	professor r ferrier	0	
55315	dr m rahman	0	
4979	dr r evans	0	
37352	professor i mccarthy	0	
38844	mr g frizelle	0	
4747	dr jh smart	0	
13313	professor k ridgway	6	
28901	dr p ranky	0	
1446	professor rf bishop	0	
12093	dr j parkinson	0	
31369	professor vi hanby	0	
12130	professor p parsons	0	
27144	professor dj cardin	0	
5874	professor a gilbert	0	
51098	professor n peake	1	
8616	professor p kapadia	0	
38537	dr r ducharme	0	
4399	professor jm dowden	0	
5975	professor kd glazebrook	4	
10484	professor c mcdiarmid	0	
16865	professor aa wheeler	0	
29139	professor c exley	0	
40244	professor d kirschen	0	
32336	professor r allan	0	
12851	professor sg pulman	0	
6710	professor j hancock	0	
10318	professor r maull	6	
-20254	dr g musson	0	
48778	dr j bennett	0	
61472	dr j bennet	0	
54195	professor z radnor	0	
29368	dr s childe	0	
12742	dr d price	0	
11288	professor a muhlemann	0	
34523	professor ja sharp	0	
41047	professor r macintosh	0	
12949	professor vh raja	0	
42915	dr i maung	0	
8661	mr je keast	0	
1346	dr wm beynon	0	
15793	dr c thornton	3	
4726	mr g edwards	0	
31781	professor sjr simons	0	
9707	professor m loretto	0	
36034	dr p blenkinsop	0	
8462	professor i jones	0	
9773	professor j lucas	0	
15270	dr r stuart	0	
14649	professor js smith	0	
3249	professor jnl connor	0	
10276	professor aj masters	4	
41174	dr na burton	0	
5735	professor c d garner	0	
27686	professor a aroussi	0	
7979	professor th hyde	4	
4291	professor g dodson	0	
10005	dr p main	0	
7774	professor r hubbard	0	
12634	professor i postlethwaite	0	
6485	professor d gu	0	
21686	professor l hanzo	3	
67279	dr r pereira	0	
67971	professor m merabti	0	
42975	professor j marrow	2	
1251	professor k bennett	0	
50835	professor p steadman	3	
23688	professor m welland	0	
42529	professor t james	0	
36933	professor b woodward	0	
17501	professor me woodward	0	
34300	professor s chen	0	
17079	dr d wilkinson	0	
50614	dr g white	1	
50615	mr a thomas	0	
46155	dr rb hammond	1	
74206	professor m carey	0	
13061	dr m razaz	0	
15957	dr nk tovey	0	
11089	professor g moore	0	
67383	dr v morris	0	
46042	professor sh kilcoyne	0	
