Source	Target	Type	Weight	TotalVal
28	91	Undirected	2.0	1751096
28	98	Undirected	1.0	5032504
28	99	Undirected	17.0	33250276
28	100	Undirected	5.0	9820804
28	101	Undirected	1.0	4183694
28	105	Undirected	2.0	949708
28	110	Undirected	4.0	3584309
28	114	Undirected	2.0	5427726
28	115	Undirected	1.0	395222
28	117	Undirected	4.0	5089379
28	120	Undirected	1.0	342884
29	35	Undirected	1.0	6550555
29	40	Undirected	3.0	940653
29	41	Undirected	1.0	6550555
29	54	Undirected	1.0	6550555
29	57	Undirected	3.0	521059
29	61	Undirected	3.0	521059
29	71	Undirected	1.0	397424
29	91	Undirected	2.0	506451
29	115	Undirected	1.0	6550555
29	120	Undirected	1.0	6550555
30	46	Undirected	1.0	712097
30	51	Undirected	2.0	2687593
30	53	Undirected	13.0	25192282
30	67	Undirected	3.0	10432737
30	86	Undirected	1.0	1975496
30	92	Undirected	4.0	7464851
30	101	Undirected	3.0	2907216
30	109	Undirected	1.0	2503462
30	114	Undirected	1.0	2203028
30	117	Undirected	1.0	2203028
31	46	Undirected	2.0	337657
31	49	Undirected	4.0	7471995
31	51	Undirected	9.0	14577594
31	52	Undirected	6.0	10489930
31	53	Undirected	1.0	5199944
31	57	Undirected	1.0	238693
31	68	Undirected	2.0	943011
31	69	Undirected	3.0	1786948
31	73	Undirected	7.0	14560687
31	76	Undirected	1.0	95857
31	81	Undirected	4.0	11363966
31	82	Undirected	3.0	12536083
31	83	Undirected	1.0	1344142
31	85	Undirected	1.0	238693
31	97	Undirected	11.0	9580538
31	98	Undirected	27.0	21258852
31	100	Undirected	2.0	1349966
31	105	Undirected	2.0	794030
31	118	Undirected	7.0	5371071
32	62	Undirected	2.0	11438674
32	69	Undirected	1.0	4462097
32	70	Undirected	2.0	11438674
32	81	Undirected	1.0	4462097
32	82	Undirected	2.0	4559125
32	83	Undirected	1.0	4462097
32	87	Undirected	3.0	11535702
32	90	Undirected	1.0	4145262
33	36	Undirected	1.0	843022
33	37	Undirected	5.0	1944273
33	40	Undirected	1.0	837467
33	69	Undirected	1.0	582976
33	70	Undirected	1.0	4108787
33	75	Undirected	1.0	843022
33	76	Undirected	1.0	582976
33	91	Undirected	1.0	512391
34	35	Undirected	1.0	3266366
34	37	Undirected	1.0	3266366
34	42	Undirected	2.0	3289944
34	43	Undirected	3.0	17623174
34	45	Undirected	1.0	23578
34	50	Undirected	3.0	1414969
34	62	Undirected	3.0	7224062
34	87	Undirected	2.0	11472324
34	90	Undirected	1.0	23578
34	91	Undirected	3.0	8887225
34	96	Undirected	1.0	1295519
34	100	Undirected	1.0	629902
34	102	Undirected	1.0	1296214
34	108	Undirected	5.0	7130401
34	111	Undirected	5.0	19601505
34	112	Undirected	3.0	8633183
34	113	Undirected	3.0	972476
35	36	Undirected	3.0	573628
35	37	Undirected	7.0	6237145
35	38	Undirected	1.0	233012
35	39	Undirected	1.0	6044904
35	40	Undirected	2.0	351424
35	41	Undirected	1.0	6550555
35	42	Undirected	2.0	10340228
35	47	Undirected	1.0	5832641
35	49	Undirected	1.0	2690768
35	50	Undirected	1.0	7073862
35	51	Undirected	1.0	391320
35	54	Undirected	10.0	30237518
35	57	Undirected	9.0	2558977
35	61	Undirected	3.0	847073
35	62	Undirected	1.0	7073862
35	70	Undirected	1.0	187045
35	77	Undirected	1.0	7073862
35	80	Undirected	2.0	942497
35	90	Undirected	1.0	298644
35	91	Undirected	4.0	3809661
35	96	Undirected	3.0	7105861
35	98	Undirected	1.0	391320
35	100	Undirected	1.0	298572
35	102	Undirected	3.0	7536560
35	106	Undirected	3.0	10328510
35	109	Undirected	4.0	13930188
35	115	Undirected	7.0	20539557
35	119	Undirected	3.0	1924155
35	120	Undirected	4.0	20868336
35	121	Undirected	1.0	7073862
36	37	Undirected	13.0	15752814
36	51	Undirected	2.0	1150322
36	54	Undirected	1.0	241076
36	57	Undirected	1.0	375708
36	60	Undirected	1.0	375708
36	64	Undirected	1.0	214718
36	70	Undirected	1.0	6196718
36	75	Undirected	1.0	843022
36	80	Undirected	1.0	214718
36	91	Undirected	1.0	756016
36	97	Undirected	1.0	560162
36	100	Undirected	1.0	756016
36	102	Undirected	3.0	1624465
36	105	Undirected	2.0	712099
36	109	Undirected	2.0	7012467
36	115	Undirected	2.0	7012467
36	121	Undirected	1.0	282013
37	39	Undirected	1.0	298433
37	42	Undirected	3.0	3561811
37	43	Undirected	1.0	147434
37	45	Undirected	1.0	2190025
37	57	Undirected	2.0	1640915
37	62	Undirected	2.0	860338
37	83	Undirected	1.0	1131830
37	94	Undirected	1.0	147434
37	102	Undirected	3.0	1791840
37	113	Undirected	2.0	2887062
37	120	Undirected	3.0	3807214
38	39	Undirected	7.0	15540397
38	43	Undirected	2.0	5386601
38	49	Undirected	4.0	3936404
38	51	Undirected	1.0	1934793
38	53	Undirected	3.0	6780849
38	57	Undirected	14.0	39447182
38	60	Undirected	2.0	3055546
38	61	Undirected	3.0	12365043
38	64	Undirected	1.0	461220
38	70	Undirected	3.0	5288997
38	80	Undirected	20.0	41064970
38	82	Undirected	1.0	995080
38	83	Undirected	1.0	10220725
38	84	Undirected	1.0	995080
38	85	Undirected	1.0	995080
38	90	Undirected	1.0	2931366
38	91	Undirected	6.0	9387359
38	99	Undirected	2.0	1058194
38	101	Undirected	1.0	961156
38	105	Undirected	1.0	461220
38	117	Undirected	1.0	961156
39	40	Undirected	6.0	1410108
39	43	Undirected	1.0	1004316
39	46	Undirected	2.0	7402882
39	47	Undirected	1.0	99782
39	48	Undirected	3.0	9991915
39	49	Undirected	8.0	15911537
39	51	Undirected	2.0	10028282
39	53	Undirected	7.0	24999025
39	54	Undirected	2.0	10147860
39	57	Undirected	12.0	13089646
39	59	Undirected	1.0	1004316
39	60	Undirected	3.0	1350225
39	72	Undirected	2.0	11895808
39	80	Undirected	5.0	14340770
39	85	Undirected	1.0	101247
39	86	Undirected	1.0	4051357
39	88	Undirected	1.0	233039
39	91	Undirected	2.0	290941
