"GR/R28232/01","[['mcnab, professor a', '10652'], ['hayward, professor g', '7052']]"
"GR/R28249/01","[['cawley, professor p', '2683'], ['lowe, professor m j s', '37796']]"
"EP/E002323/1","[['dickens, professor p', '4180'], ['caine, professor mp', '81375'], ['anumba, professor cj', '34219'], ['palmer, mr p', '85637'], ['rothberg, professor sj', '32028'], ['siemieniuch, professor c', '48939'], ['west, professor aa', '39084'], ['bouchlaghem, professor d', '45461'], ['reed, mr gm', '-115198'], ['dainty, professor arj', '37707'], ['price, professor a', '12737'], ['burns, professor n', '2317'], ['hague, professor rj', '81738'], ['harrison, professor r', '6882'], ['porter, professor jm', '12618'], ['sinclair, mr m', '14484'], ['acar, professor b', '38'], ['austin, professor s', '619'], ['thorpe, professor a', '15810'], ['carrillo, professor p', '2589'], ['story, dr vm', '94036'], ['case, professor k', '2627'], ['harding, professor ja', '72895'], ['hutt, dr da', '74046'], ['jackson, professor m', '8111'], ['conway, professor p', '3262'], ['hopkinson, professor n', '79834'], ['williams, professor dj', '17189'], ['chung, professor pwh', '22032'], ['young, dr r', '17707'], ['saker, professor j', '59876'], ['harris, professor ra', '106090'], ['pasquire, professor cl', '29835'], ['rahimifard, professor s', '61302'], ['harland, dr a', '106432'], ['backhouse, professor c', '30483'], ['jones, professor r', '28454'], ['richardson, mr jh', '64187'], ['mitchell, dr sr', '64999'], ['walsh, dr k', '70697'], ['soar, dr r', '83912'], ['parkin, professor r', '34519'], ['gibb, professor agf', '29712']]"
"GR/R64483/01","[['backhouse, professor c', '30483'], ['rahimifard, professor s', '61302'], ['hutt, dr da', '74046'], ['thorpe, professor a', '15810'], ['rothberg, professor sj', '32028'], ['jackson, professor m', '8111'], ['newman, professor st', '11536'], ['dickens, professor p', '4180'], ['west, professor aa', '39084'], ['case, professor k', '2627'], ['burns, professor n', '2317'], ['mitchell, dr sr', '64999'], ['young, dr r', '17707'], ['walsh, dr k', '70697'], ['harrison, professor r', '6882'], ['conway, professor p', '3262'], ['caine, professor mp', '81375'], ['jones, professor r', '28454'], ['palmer, mr p', '85637'], ['parkin, professor r', '34519']]"
"GR/R64490/01","[['thorpe, professor a', '15810'], ['porter, professor jm', '12618'], ['anumba, professor cj', '34219'], ['sinclair, mr m', '14484'], ['acar, professor b', '38'], ['austin, professor s', '619'], ['carrillo, professor p', '2589'], ['siemieniuch, professor c', '48939'], ['damodaran, professor l', '3767'], ['chung, professor pwh', '22032'], ['price, professor a', '12737'], ['wong, professor v', '71135'], ['bouchlaghem, professor d', '45461'], ['dainty, professor arj', '37707'], ['pasquire, professor cl', '29835'], ['backhouse, professor c', '30483'], ['gibb, professor agf', '29712'], ['storey, dr v', '73276'], ['saker, professor j', '59876']]"
"NS/A000010/1","[['bull, professor amj', '106929'], ['cobb, professor j', '-160927'], ['saklatvala, professor, j', '-17500'], ['amis, professor a', '309'], ['cass, professor aeg', '2637'], ['toumazou, professor c', '15956'], ['yang, professor g', '68959'], ['mcgregor, professor ah', '82706'], ['stevens, professor m', '119191']]"
"GR/S26514/01","[['crouchley, professor r', '100735'], ['lambert, professor c', '9121'], ['sommerville, professor i', '14819'], ['soothill, professor kl', '14822'], ['hutchison, professor d', '7956'], ['ratoff, professor pn', '42689'], ['jones, dr r', '99876'], ['binley, professor a', '1395'], ['coulson, professor g', '28053'], ['blair, professor g', '1488'], ['beven, professor k', '1329'], ['bertram, dr i', '105118'], ['bradley, professor s', '105119'], ['penn, professor r', '105120'], ['pope, professor p', '105121'], ['eglese, professor rw', '4757']]"
"EP/D080304/2","[['hamilton, dr cj', '98771']]"
"EP/D080304/1","[['hamilton, dr cj', '98771']]"
"EP/E03733X/1","[['jiang, professor x', '100021'], ['blunt, professor l', '53872']]"
"EP/H010106/1","[['kornyshev, professor aa', '105731']]"
"EP/H009736/1","[['van der heijden, professor g', '82431']]"
"GR/M97466/01","[['murphy, professor ja', '11357']]"
"GR/N16587/01","[['syred, professor n', '15435'], ['griffiths, professor aj', '6408']]"
"GR/R06120/01","[['reeve, dr j', '13133'], ['hanzo, professor l', '21686']]"
"GR/R42269/01","[['hayes-gill, professor b', '7034']]"
"EP/F036647/1","[['colton, professor s', '98328']]"
"EP/F035594/1","[['smaill, dr a', '14582'], ['clark, professor a', '-88928']]"
"EP/F037058/1","[['ireland, professor a', '39488']]"
"EP/G007683/1","[['mair, dr c', '-193341']]"
"EP/G008388/1","[['shepperd, professor m', '45835']]"
"EP/F012403/1","[['freer, professor r', '5562'], ['leach, dr c', '59921'], ['sinclair, professor d', '14479'], ['alford, professor n', '36081'], ['west, professor ar', '16823'], ['reaney, professor im', '41801']]"
"GR/R84290/01","[['clarke, professor p', '93654'], ['crowcroft, professor j', '3618'], ['chown, dr tj', '96069'], ['edwards, dr c', '93623'], ['bhatti, professor s', '57256']]"
"GR/N21710/01","[['routledge, dr a', '76707']]"
"GR/N21710/02","[['routledge, dr a', '76707']]"
"EP/C547241/1","[['kraft, professor m', '78301'], ['gladden, professor l', '5961']]"
"EP/C531221/1","[['bremner, professor d', '1894'], ['grassia, dr ps', '76234'], ['burgess, dr a', '51129'], ['roberts, professor e', '39239']]"
