Source	Target	Type	Weight
3610	27067	Undirected	2.0
3610	13155	Undirected	2.0
16500	15731	Undirected	2.0
16500	1174	Undirected	2.0
16500	2291	Undirected	3.0
16500	13155	Undirected	2.0
24554	7249	Undirected	1.0
24554	27067	Undirected	1.0
24554	8889	Undirected	1.0
15731	7249	Undirected	3.0
15731	27067	Undirected	3.0
15731	8889	Undirected	3.0
7249	1174	Undirected	3.0
7249	2291	Undirected	2.0
7249	13155	Undirected	2.0
1174	2291	Undirected	2.0
1174	13155	Undirected	2.0
27067	8889	Undirected	2.0
2291	8889	Undirected	4.0
3610	16500	Undirected	2.0
3610	1288	Undirected	1.0
3610	15539	Undirected	1.0
16500	27067	Undirected	2.0
16500	8889	Undirected	2.0
15731	2291	Undirected	2.0
7249	27067	Undirected	3.0
7249	8889	Undirected	3.0
1174	15539	Undirected	1.0
27067	1288	Undirected	1.0
27067	15539	Undirected	1.0
1288	2291	Undirected	4.0
1288	8889	Undirected	2.0
2291	15539	Undirected	1.0
15539	8889	Undirected	2.0
8889	13155	Undirected	2.0
15539	43527	Undirected	3.0
15539	1288	Undirected	3.0
15539	15731	Undirected	1.0
15539	27067	Undirected	1.0
15539	16500	Undirected	3.0
13155	43526	Undirected	1.0
13155	43528	Undirected	1.0
13155	2291	Undirected	1.0
13155	7249	Undirected	1.0
13155	27067	Undirected	1.0
13155	16500	Undirected	1.0
43526	43527	Undirected	1.0
43526	1288	Undirected	1.0
43526	15731	Undirected	1.0
43526	8889	Undirected	1.0
43526	1174	Undirected	1.0
43526	24554	Undirected	1.0
43527	1288	Undirected	2.0
43527	15731	Undirected	1.0
43527	8889	Undirected	1.0
43527	1174	Undirected	1.0
43527	24554	Undirected	1.0
43528	2291	Undirected	1.0
43528	7249	Undirected	1.0
43528	27067	Undirected	1.0
43528	16500	Undirected	1.0
1288	15731	Undirected	1.0
1288	27067	Undirected	1.0
1288	16500	Undirected	2.0
2291	15731	Undirected	1.0
2291	27067	Undirected	1.0
2291	16500	Undirected	2.0
15731	1174	Undirected	3.0
7249	24554	Undirected	1.0
8889	1174	Undirected	1.0
8889	24554	Undirected	1.0
27067	16500	Undirected	1.0
1174	16500	Undirected	1.0
16500	24554	Undirected	2.0
10843	32000	Undirected	2.0
8715	10043	Undirected	1.0
5690	48884	Undirected	2.0
5690	449	Undirected	3.0
48884	449	Undirected	1.0
48882	8573	Undirected	3.0
