Source	Target	Type	Weight
78875	13957	Undirected	4.0
78875	55914	Undirected	4.0
78875	101564	Undirected	4.0
78875	24189	Undirected	4.0
78875	56727	Undirected	4.0
78875	113809	Undirected	4.0
78875	17143	Undirected	4.0
78875	-393156	Undirected	4.0
78875	55710	Undirected	4.0
78875	58157	Undirected	4.0
78875	89185	Undirected	4.0
78875	70395	Undirected	4.0
78875	-251824	Undirected	4.0
78875	117837	Undirected	4.0
78875	81895	Undirected	4.0
78875	104071	Undirected	4.0
78875	-236908	Undirected	4.0
42780	-161344	Undirected	4.0
42780	41915	Undirected	6.0
42780	42031	Undirected	4.0
42780	9409	Undirected	5.0
42780	13957	Undirected	5.0
42780	55914	Undirected	5.0
42780	101564	Undirected	4.0
42780	24189	Undirected	5.0
42780	56727	Undirected	4.0
42780	113809	Undirected	4.0
42780	17143	Undirected	4.0
42780	-393156	Undirected	6.0
42780	55710	Undirected	4.0
42780	58157	Undirected	4.0
42780	89185	Undirected	4.0
42780	70395	Undirected	4.0
42780	-251824	Undirected	4.0
42780	117837	Undirected	4.0
42780	81895	Undirected	4.0
42780	104071	Undirected	5.0
42780	-236908	Undirected	4.0
42780	41970	Undirected	4.0
42780	-171947	Undirected	4.0
42780	-114483	Undirected	4.0
42780	-79678	Undirected	5.0
42780	-164791	Undirected	4.0
42780	12426	Undirected	4.0
42780	35009	Undirected	4.0
42780	126084	Undirected	5.0
-161344	41915	Undirected	4.0
-161344	42031	Undirected	4.0
-161344	9409	Undirected	4.0
-161344	13957	Undirected	4.0
-161344	55914	Undirected	4.0
-161344	101564	Undirected	4.0
-161344	24189	Undirected	4.0
-161344	56727	Undirected	4.0
-161344	113809	Undirected	4.0
-161344	17143	Undirected	4.0
-161344	-393156	Undirected	4.0
-161344	55710	Undirected	4.0
-161344	58157	Undirected	4.0
-161344	89185	Undirected	4.0
-161344	70395	Undirected	4.0
-161344	-251824	Undirected	4.0
-161344	117837	Undirected	4.0
-161344	81895	Undirected	4.0
-161344	104071	Undirected	4.0
-161344	-236908	Undirected	4.0
41915	42031	Undirected	4.0
41915	9409	Undirected	5.0
41915	13957	Undirected	5.0
41915	55914	Undirected	5.0
41915	101564	Undirected	4.0
41915	24189	Undirected	5.0
41915	56727	Undirected	4.0
41915	113809	Undirected	4.0
41915	17143	Undirected	4.0
41915	-393156	Undirected	6.0
41915	55710	Undirected	4.0
41915	58157	Undirected	4.0
41915	89185	Undirected	4.0
41915	70395	Undirected	4.0
41915	-251824	Undirected	4.0
41915	117837	Undirected	4.0
41915	81895	Undirected	4.0
41915	104071	Undirected	5.0
41915	-236908	Undirected	4.0
41915	-209647	Undirected	4.0
41915	51895	Undirected	5.0
41915	65489	Undirected	5.0
41915	41970	Undirected	4.0
41915	-171947	Undirected	5.0
41915	-114483	Undirected	4.0
41915	-79678	Undirected	7.0
41915	-164791	Undirected	4.0
41915	12426	Undirected	4.0
41915	35009	Undirected	4.0
41915	126084	Undirected	5.0
41915	-79240	Undirected	5.0
41915	41984	Undirected	4.0
41915	-212193	Undirected	4.0
41915	-188882	Undirected	4.0
41915	75573	Undirected	4.0
41915	-80458	Undirected	4.0
41915	7223	Undirected	4.0
41915	41455	Undirected	4.0
41915	56821	Undirected	4.0
42031	9409	Undirected	4.0
42031	13957	Undirected	4.0
42031	55914	Undirected	4.0
42031	101564	Undirected	4.0
42031	24189	Undirected	4.0
42031	56727	Undirected	4.0
42031	113809	Undirected	4.0
42031	17143	Undirected	4.0
42031	-393156	Undirected	4.0
42031	55710	Undirected	4.0
42031	58157	Undirected	4.0
42031	89185	Undirected	4.0
42031	70395	Undirected	4.0
42031	-251824	Undirected	4.0
42031	117837	Undirected	4.0
42031	81895	Undirected	4.0
42031	104071	Undirected	4.0
42031	-236908	Undirected	4.0
9409	13957	Undirected	4.0
9409	55914	Undirected	6.0
9409	101564	Undirected	4.0
9409	24189	Undirected	5.0
9409	56727	Undirected	4.0
9409	113809	Undirected	4.0
9409	17143	Undirected	4.0
9409	-393156	Undirected	5.0
9409	55710	Undirected	4.0
9409	58157	Undirected	4.0
9409	89185	Undirected	4.0
9409	70395	Undirected	4.0
9409	-251824	Undirected	4.0
9409	117837	Undirected	4.0
9409	81895	Undirected	4.0
9409	104071	Undirected	5.0
9409	-236908	Undirected	4.0
9409	-79678	Undirected	4.0
9409	126084	Undirected	4.0
13957	55914	Undirected	4.0
13957	101564	Undirected	4.0
13957	24189	Undirected	4.0
13957	56727	Undirected	4.0
13957	113809	Undirected	4.0
13957	17143	Undirected	4.0
13957	-393156	Undirected	5.0
13957	55710	Undirected	4.0
13957	58157	Undirected	4.0
13957	89185	Undirected	4.0
13957	70395	Undirected	4.0
13957	-251824	Undirected	4.0
13957	117837	Undirected	4.0
13957	81895	Undirected	4.0
13957	104071	Undirected	4.0
13957	-236908	Undirected	4.0
13957	41970	Undirected	4.0
13957	-171947	Undirected	4.0
13957	-114483	Undirected	4.0
13957	-79678	Undirected	4.0
13957	-164791	Undirected	4.0
13957	12426	Undirected	4.0
13957	35009	Undirected	4.0
13957	126084	Undirected	4.0
55914	101564	Undirected	4.0
55914	24189	Undirected	5.0
55914	56727	Undirected	4.0
55914	113809	Undirected	4.0
55914	17143	Undirected	4.0
55914	-393156	Undirected	5.0
55914	55710	Undirected	4.0
55914	58157	Undirected	4.0
55914	89185	Undirected	4.0
55914	70395	Undirected	4.0
55914	-251824	Undirected	4.0
55914	117837	Undirected	4.0
55914	81895	Undirected	4.0
55914	104071	Undirected	5.0
55914	-236908	Undirected	4.0
55914	-79678	Undirected	4.0
55914	126084	Undirected	4.0
101564	24189	Undirected	4.0
101564	56727	Undirected	4.0
101564	113809	Undirected	4.0
101564	17143	Undirected	4.0
101564	-393156	Undirected	4.0
101564	55710	Undirected	4.0
101564	58157	Undirected	4.0
101564	89185	Undirected	4.0
101564	70395	Undirected	4.0
101564	-251824	Undirected	4.0
101564	117837	Undirected	4.0
101564	81895	Undirected	4.0
101564	104071	Undirected	4.0
101564	-236908	Undirected	4.0
24189	56727	Undirected	4.0
24189	113809	Undirected	4.0
24189	17143	Undirected	4.0
24189	-393156	Undirected	5.0
24189	55710	Undirected	4.0
24189	58157	Undirected	4.0
24189	89185	Undirected	4.0
24189	70395	Undirected	4.0
24189	-251824	Undirected	4.0
24189	117837	Undirected	4.0
24189	81895	Undirected	4.0
24189	104071	Undirected	5.0
24189	-236908	Undirected	4.0
24189	-79678	Undirected	4.0
24189	126084	Undirected	4.0
56727	113809	Undirected	4.0
56727	17143	Undirected	4.0
56727	-393156	Undirected	4.0
56727	55710	Undirected	4.0
56727	58157	Undirected	4.0
56727	89185	Undirected	4.0
56727	70395	Undirected	4.0
56727	-251824	Undirected	4.0
56727	117837	Undirected	4.0
56727	81895	Undirected	4.0
56727	104071	Undirected	4.0
56727	-236908	Undirected	4.0
113809	17143	Undirected	4.0
113809	-393156	Undirected	4.0
113809	55710	Undirected	4.0
113809	58157	Undirected	4.0
113809	89185	Undirected	4.0
113809	70395	Undirected	4.0
113809	-251824	Undirected	4.0
113809	117837	Undirected	4.0
113809	81895	Undirected	4.0
113809	104071	Undirected	4.0
113809	-236908	Undirected	4.0
17143	-393156	Undirected	4.0
17143	55710	Undirected	4.0
17143	58157	Undirected	4.0
17143	89185	Undirected	4.0
17143	70395	Undirected	4.0
17143	-251824	Undirected	4.0
17143	117837	Undirected	4.0
17143	81895	Undirected	4.0
17143	104071	Undirected	4.0
17143	-236908	Undirected	4.0
-393156	55710	Undirected	4.0
-393156	58157	Undirected	4.0
-393156	89185	Undirected	4.0
-393156	70395	Undirected	4.0
-393156	-251824	Undirected	4.0
-393156	117837	Undirected	4.0
-393156	81895	Undirected	4.0
-393156	104071	Undirected	5.0
-393156	-236908	Undirected	4.0
