Id	Label	Num
29058	professor pn bartlett	8	
73975	dr j sloan	4	
13147	professor g reid	7	
32486	professor m george	9	
85445	professor al hector	7	
82989	professor dc smith	7	
74007	dr na besley	3	
36060	professor aj marshall	3	
15555	professor s taylor	5	
56989	professor i uchegbu	3	
-167354	professor pl gai	2	
-167345	professor ed boyes	2	
110171	professor rk cramer	2	
9479	professor s ley	4	
49622	dr np lockyer	2	
27176	professor n goddard	2	
-460507	dr p wright	4	
66414	professor k ozanyan	3	
-450062	dr f blanc	1	
38932	professor rj nichols	7	
7270	professor s higgins	7	
105731	professor aa kornyshev	3	
38712	professor a kucernak	6	
-113233	professor jb edel	3	
125867	dr rk neely	4	
110695	professor c deane	11	
53062	professor d gavaghan	16	
-222675	professor c bountra	8	
92635	professor c kaminski	2	
37692	professor k soga	7	
4822	professor sr elliott	7	
44175	professor a harvey	10	
45941	professor dj paul	8	
16172	professor i underwood	5	
1801	professor m bradley	8	
27310	professor m padgett	13	
16509	professor aj walton	9	
71158	professor drs cumming	14	
29187	professor a mount	6	
21420	professor pr unwin	2	
-211147	dr g costantini	2	
79193	professor j macpherson	4	
94938	dr ca blindauer	2	
39898	professor a rodger	5	
114208	dr cj smith	3	
114212	dr ha van den berg	2	
38677	professor mj hannon	9	
101427	professor m cassar	4	
-193742	professor m strlic	4	
31057	professor ic freestone	1	
-12936	dr mm terras	1	
458	professor d arnold	1	
57232	professor h viles	1	
35858	professor s robson	1	
-247089	mr u tiedau	1	
13385	professor m a robb	5	
105757	dr p oliver	1	
21273	professor d parker	4	
-74271	dr i maclaren	2	
-93235	dr d mcgrouther	3	
-122021	professor pd nellist	6	
46911	professor h mccann	6	
-490657	dr n polydorides	4	
67509	professor lja nilsson	3	
41202	professor dj richardson	11	
40395	professor d hewak	10	
8417	professor w johnstone	9	
-100027	dr mp lengden	4	
103946	dr j aylott	2	
-417600	dr c crean	5	
107511	professor jr varcoe	8	
96532	dr w kockenberger	3	
15619	professor s tendler	4	
-2464	dr b bonev	2	
44677	dr j titman	2	
-498328	dr m m roessler	3	
11176	professor ga morris	1	
-158333	dr m nilsson	1	
-453708	dr rw adams	1	
68984	professor d graham	12	
-196849	dr p maffia	4	
-3155	professor kj faulds	9	
-77944	professor i mcinnes	4	
-16897	professor p garside	4	
118697	professor n sattar	4	
84313	professor m girolami	15	
117265	dr gad ritchie	2	
6702	professor g hancock	2	
-407054	dr b e bode	2	
-153915	dr mk kuimova	3	
-388427	dr x niu	2	
52426	professor mg boutelle	2	
94016	professor g clough	2	
-310926	dr d voegeli	3	
80064	professor mh levitt	5	
52838	professor rcd brown	4	
3323	professor j cooper	7	
104093	professor ar pitt	5	
-17109	dr s howorka	4	
107819	dr v oganesyan	2	
44221	professor mr wilson	2	
78339	professor j davis	1	
-325934	dr g tofaris	1	
41812	professor ta birks	3	
-178209	dr k dhaliwal	4	
77128	professor c haslett	3	
10612	professor s mclaughlin	8	
41809	dr c williams	6	
45280	professor j knight	4	
-163375	dr rr thomson	5	
27588	professor rk henderson	6	
18869	professor ah greenaway	3	
120842	professor r duncan	3	
-340882	professor t walsh	3	
126978	dr cj campbell	4	
1898	professor ag brenton	0	
17379	professor p withers	23	
73419	professor wrb lionheart	8	
39752	professor rj cernik	17	
-399202	professor m burke	10	
49267	professor pd lee	20	
-391866	dr sj haigh	5	
-3369	professor hj cooper	2	
79372	professor ejl mcinnes	5	
-178438	dr m galan	3	
7995	professor e ifeachor	2	
-191733	dr d doneddu	2	
42906	professor g pan	2	
126042	professor oj guy	8	
-259967	dr c carroll	2	
-490422	dr s awan	2	
84605	professor i grigorieva	5	
-480992	dr c wedge	1	
74038	professor ga worth	5	
34550	professor h fielding	3	
16532	professor jm ward	11	
39238	professor hc hailes	6	
48497	dr m kadodwala	6	
57784	professor g cooke	5	
124422	professor n gadegaard	4	
52916	professor m geoghegan	2	
-215078	professor pb o'connor	1	
-353649	dr k mattsson	4	
-126601	dr a maiden	1	
34558	professor s duckett	4	
12353	professor r perutz	3	
-511536	dr j kitchen	2	
-408323	dr aj cowan	8	
48362	professor dm murphy	4	
-407925	dr dn mason	4	
-116364	professor p mendes	3	
-115613	dr js fossey	3	
-112481	dr dm graham	2	
-85457	professor j moger	3	
-187843	dr ja zeitler	4	
470	professor sr arridge	7	
45314	professor jc hebden	4	
-409272	professor a beale	6	
-173229	professor ov kolosov	1	
111437	professor fl martin	1	
71098	professor d allsop	1	
25203	professor p weightman	7	
-21184	dr s barrett	7	
-183025	dr y shen	5	
-10858	professor a varro	3	
100601	dr ds martin	3	
-316428	professor dm pritchard	3	
-555040	dr b heazlewood	3	
34571	professor s meech	6	
-96417	dr j lloyd-hughes	5	
-118303	dr v stavros	5	
-2460	dr jj van thor	1	
-215480	professor j corner	1	
91989	professor j petts	2	
-180311	dr df stowell	4	
-79145	dr ps kemp	10	
89259	professor m owen	4	
-244718	mr d lumbroso	7	
-187589	dr d yu	7	
-389063	dr m di lorenzo	4	
-422441	dr m acuto	8	
-422960	dr sj purdy	4	
-497199	dr s t larcom	8	
51118	professor pm hall	10	
54523	professor jw essex	12	
83430	professor s bullock	10	
106038	dr ma lones	1	
48653	professor a waller	3	
57710	professor sj mckenna	5	
-249907	dr p kristensson	5	
-218294	dr j zhang	3	
-47636	dr l soldatova	5	
49796	professor r king	5	
-396266	dr m a srinivasan	3	
17176	dr cjk williams	3	
115013	dr rj ball	4	
-527971	mr r stuart-smith	3	
-527920	dr s leutenegger	3	
-25791	dr n hawes	4	
88227	dr i campbell	3	
-21859	professor d murphy	2	
-113552	dr ww mayol-cuevas	7	
111729	dr ts richardson	4	
90639	dr p dudek	4	
-182794	professor m pantic	3	
77032	professor d rueckert	9	
-365465	dr s zafeiriou	3	
71452	professor c reed	2	
54937	professor o lemon	2	
-448597	professor s s maskell	3	
-410653	mr j savirimuthu	3	
106617	professor l alison	3	
96326	professor c andrieu	2	
-394954	professor a doucet	2	
-197015	professor yw teh	2	
-286050	dr p blunsom	4	
-501777	dr g demartini	3	
88711	professor sj nasuto	3	
109531	professor e miranda	3	
-475436	dr c clopath	1	
-123345	dr ls mihaylova	3	
53511	professor s godsill	3	
-170360	dr ss singh	3	
-129543	dr c connaughton	7	
30815	professor m wooldridge	3	
-387231	dr s li	9	
-483294	dr p p rusconi	3	
98328	professor s colton	5	
117238	professor d husmeier	4	
-186498	dr sd rogers	2	
-420069	dr m filippone	2	
-113200	professor s crutch	5	
14556	professor m slater	5	
61394	professor a steed	8	
32038	professor s hailes	10	
107620	professor nc fox	5	
120114	professor m pontil	5	
122272	dr al cox	10	
-99600	dr dp brumby	5	
-2886	professor js shawe-taylor	10	
81544	professor d alexander	7	
-413931	dr tr gross	11	
112609	professor d wall	9	
-407759	dr t ploetz	10	
-205720	dr ge oxburgh	6	
