"EP/I037644/1","['6446', '101045', '51012', '42975', '-21394', '41034']"
"EP/L504695/1","['-124610']"
"EP/L504683/1","['-434543', '56943']"
"EP/L018616/1","['-236565', '-391743', '-416888', '48606', '-188126', '50024', '37536', '48909', '213', '-3143', '-99388', '6446', '41099', '-19904', '6930', '99170', '22205', '58194', '-453496', '36754', '69332', '-229041', '29187', '86007', '35206']"
"EP/K039350/1","['81402']"
"EP/M022684/1","['-95655']"
"EP/M01858X/1","['-249527', '4332']"
"EP/M01861X/1","['16716']"
"EP/M012794/1","['53031', '-369510', '-95655', '-92534', '115741', '65489', '-496686', '-496684']"
"EP/N00700X/1","['-501966']"
"EP/M026477/1","['-389791', '-421177', '-436825']"
"EP/I036427/1","['66717', '-2552', '-364613', '-364647', '-364617', '-251643', '46168', '23398', '-182490', '-165982', '-119007', '15681', '-79530', '-51514', '124747', '75469', '-4953', '-491278', '77331']"
"EP/N017110/1","['-152752', '13417']"
"EP/M026558/1","['-494529', '-416888']"
"EP/M018415/1","['-396159']"
"EP/M018717/1","['-213650', '-456099', '88502']"
"EP/M018709/1","['92710', '98457', '-557000']"
"EP/N017749/1","['55461', '-444078', '77037', '97275']"
"EP/P004458/1","['6475']"
"EP/M018814/1","['-236565', '24398']"
"EP/M018679/1","['42975']"
"EP/M018598/1","['37572', '22205']"
"EP/M018822/1","['125130', '31603']"
"EP/L025817/1","['13417', '-415585']"
"EP/P510713/1","['21278', '82722']"
"EP/M506692/1","['21278', '-116821']"
"EP/M506710/1","['66113', '12926', '-302669']"
"EP/K002716/1","['-396845', '-422712', '-117697', '-90645', '-410121', '-239987']"
"EP/K002635/2","['-25651', '-171133']"
"EP/L024608/1","['44631', '132855', '-195103', '-287120']"
"EP/M014002/1","['49339', '26707', '-449796']"
"EP/L024454/1","['-242884', '-467912', '69849', '-241027']"
"EP/P510725/1","['-143094']"
"EP/P001173/1","['123858', '44685', '-496217', '-516991', '-545508', '57895', '116297', '6048', '133605', '-362253', '-300525', '-262944', '-217452', '-188113', '-184004', '-192409', '-189422', '-150653', '-22878', '-22963', '-20957', '41239', '13614', '71151', '10605']"
"EP/K011820/1","['15492', '-121972', '41165', '-7769', '-169970', '-88032', '41623', '45237', '109043', '106154', '22809', '65572']"
"EP/K00915X/1","['2688', '-384391', '-411741', '51021', '45570', '-184004', '8883', '38341', '3191', '41906', '-272261']"
"EP/M507192/1","['-188636', '-473149']"
"EP/M507209/1","['-152373']"
"EP/K002589/1","['-116694', '-16336', '10387', '13520', '-287120']"
"EP/M008223/1","['71185', '-283417', '80576', '31522']"
"EP/L024403/1","['71185', '-91630', '-90068']"
"EP/K00249X/1","['9671', '119554', '9723', '-116204']"
"EP/K011723/1","['38202', '85285', '-196874', '-196852', '-189801', '-26359', '-171133', '-109023', '-90633', '-90557', '-92132', '116911', '59622', '129562']"
"EP/M014096/1","['36023', '21436']"
"EP/K002473/1","['103803', '-11003', '-296701', '-469440']"
"EP/K002643/1","['83758', '-11028', '31173']"
"EP/N002563/1","['11973', '-178144', '-425191']"
"EP/L022311/1","['-109563']"
"EP/M507143/1","['-113790']"
"EP/M507131/1","['-219209', '31821', '56489']"
"EP/N022645/1","['101551', '89706', '-410597']"
"EP/P006779/1","['-418190', '82752', '45237', '89706', '101551', '15492', '58759', '-418212', '-241720', '-217452', '38202']"
"EP/L002604/1","['-443185', '-17900']"
"EP/L002531/1","['13614', '-284052']"
"EP/K002724/1","['3172', '-372746', '-121833', '-178144', '-99043', '-161802', '11973', '105828', '55297', '83269']"
"EP/M506734/1","['-11003', '-469440']"
"EP/M506709/1","['-252311', '28545']"
"EP/M00760X/1","['-165849', '110528', '110529', '-492429', '-217452']"
"EP/P004709/1","['-212193', '9859', '102972', '96913', '8623', '-190439', '71090']"
"EP/M507180/1","['-415704', '-494785']"
"EP/L01517X/1","['72748', '-134232', '-113563', '39147', '9723', '9671']"
"EP/K001582/1","['100637']"
"EP/N508597/1","['-494988', '-370500']"
"EP/N02222X/1","['94744', '34988', '-386304', '-411741', '-189728', '72111']"
"EP/L02442X/1","['37719', '102972', '-271218']"
"EP/M014088/1","['-160869', '16157', '-89028']"
"EP/M006735/1","['-193870', '28188', '-169404', '9671', '-251203', '129562']"
"EP/K002732/1","['71185', '-205526', '-90068', '61354', '-283417', '31522']"
"EP/P511109/1","['71083', '44683']"
"EP/M008088/1","['13614', '28188', '-189683', '-129394', '-109909']"
"EP/G036896/1","['12687', '13273']"
"EP/M507167/2","['132855']"
"EP/K011847/1","['29791', '28188', '-395800', '-190242', '82752', '119554', '58759', '-287776', '-267480', '103962']"
"EP/M507210/1","['-302572']"
"EP/M013952/1","['27411', '42725']"
"EP/N02351X/1","['55324', '-198639']"
"EP/M024652/1","['-427152']"
"EP/N509875/1","['21278', '112093']"
"EP/K000438/2","['-196852', '81373', '-53255']"
"EP/M008053/1","['61230']"
"EP/P004636/1","['15492', '247', '-449731', '-488518', '111388', '132090', '-197091', '-188549', '-121972']"
"EP/L024489/1","['3003', '48889', '-24458', '-465928', '-437916', '120809', '28253']"
"EP/K011839/1","['11861', '32038', '-119801', '-11889', '-11221', '39147', '39160', '-8107', '7234', '72748', '-79345', '14726', '7900', '-167044', '-49647', '92028', '-355876', '-418211', '-286344', '84313', '80576', '134476']"
"EP/M007359/1","['-4011', '-187917', '-121972', '15492', '-492258', '-481035']"
"EP/M008215/1","['-90068', '-491782', '123029', '-220068']"
"EP/K011790/1","['-451886', '44119', '114701', '-220068']"
"EP/K00154X/1","['-3674']"
"EP/K039253/1","['-167044', '-186334', '54064', '-113659', '-8107', '4022', '44626', '124317', '117470', '58418', '-437848', '125809', '6378', '-252133']"
"EP/M013863/1","['59590', '-416811', '-300675', '70039']"
"EP/M506758/1","['-413259']"
"EP/M014029/1","['41202']"
"EP/L013681/1","['-25651', '-205526', '-193870', '-22878', '-166190', '-90068', '61354', '71185', '121150']"
"EP/P005667/1","['13614', '15492', '37273']"
"EP/N020472/1","['-460013', '46168', '13603', '115732', '111325', '-481479']"
"EP/N022289/1","['15190', '6876', '-99236', '-79655', '-79280', '-19871', '56451', '98471']"
"EP/L027437/1","['-236908']"
"EP/J017698/1","['13540', '36017', '-399142', '679', '-13537', '-79375', '44631', '-49647', '26550', '109838', '103868']"
"EP/L024756/1","['102784', '31821', '-196852', '-157747', '-28827', '40612', '-11031', '-9371', '-113845', '-110412', '-104967', '-6681', '-90068', '92020', '92028', '-152373', '61230', '101551', '-360884', '-399201', '68709', '123029', '28301']"
"EP/K03832X/1","['-150653', '6048']"
"EP/M008150/1","['-115118', '-116543', '-90557', '-231852']"
"EP/N509954/1","['-80332', '-268767']"
"EP/N013727/1","['-414548', '44932', '3017', '17193', '5821', '-492444']"
"EP/N001877/1","['-159583', '-448380', '80230']"
"EP/N021142/1","['-401820', '42928', '96913']"
"EP/N001583/1","['-107177', '99170', '-373541']"
"EP/L001004/1","['56451', '-210851', '-188636', '44582', '8024', '79363', '6602', '38217', '15190', '113809']"
"EP/L014386/1","['-113845', '40612', '-241027']"
"EP/K031562/1","['-214815']"
"EP/N024206/1","['-475833']"
"EP/N001745/1","['-399201', '96913', '-187895', '38217', '-401003', '-410393', '-414171', '123842']"
"EP/N000714/1","['-401820', '96913', '48598', '42928']"
"EP/N001982/1","['-311299', '-189890', '46033', '111815', '124422', '-418567', '-426893', '-402090']"
"EP/M027066/1","['-396261']"
"EP/K002252/1","['40612', '-393162', '44948', '-113845', '-107177', '1361', '6602', '2132', '-150653', '27648', '96913', '123858', '68130']"
"EP/L016818/1","['6602', '56451']"
"EP/N021479/1","['-24458', '3003', '-104967', '-64682', '-33554', '129729', '-112629', '28253']"
"EP/P510142/1","['298']"
"EP/N02155X/1","['13614', '-188636', '-473149']"
"EP/K036211/1","['55297', '31821', '-210456', '1361', '13087', '-150653', '105828']"
"EP/K002228/1","['79363', '28188', '29791', '-195876', '-187895', '5756', '-105687', '10327', '92352', '41081', '-253233', '70440']"
"EP/L001063/1","['111388', '-411660', '-10387', '-407693']"
"EP/K036297/1","['70345', '-436441', '6220', '72828', '26927']"
"EP/N508408/1","['37442', '-438437']"
"EP/P510385/1","['82953']"
"EP/N509863/1","['-373541', '36023']"
"EP/N509899/1","['-447987']"
"EP/N032888/1","['-401003', '-365704', '127861', '-401820', '28188', '-391743', '-393162', '29791', '-129394', '-126233', '38712', '44948', '5756', '-107177', '-99236', '6602', '91663', '2132', '15190', '-19871', '56451', '27648', '96913', '99170', '-399342', '55434', '-422991', '123858', '70074', '-268767', '68130', '-550176', '-217499', '28301']"
"EP/N001974/1","['-398512', '-362216', '-252133', '-217499', '-119436', '-93750', '59056']"
"EP/N021258/1","['-421255', '-26308', '7293', '101342', '17420']"
"EP/P003435/1","['107653', '6220', '93298', '88913', '-423122', '96913', '-484251', '118475', '-401820', '-192969', '70345']"
"EP/L014211/1","['96913', '-210851', '5756', '79363', '-452443']"
"EP/P003532/1","['-107177', '-422991', '2132', '-563775', '-166380']"
"EP/P510397/1","['-373541']"
"EP/I029273/2","['2132']"
"EP/P510737/1","['-365704']"
"EP/P510282/1","['2132']"
"EP/J006246/1","['71090', '63480']"
"EP/N001893/1","['-197775', '92028', '-169900', '5756', '-104967', '-401003', '-406740', '-436441', '-462582', '-516991', '-22878', '61230']"
"EP/K03619X/1","['99349', '-435305', '-192969', '-11031', '-295285']"
"EP/L014351/1","['59056', '31821', '-210456', '-188636', '40612', '14892', '16312', '36539']"
"EP/N004302/1","['-442577']"
"EP/M015254/1","['47547', '-126494', '44932', '-159795']"
"EP/N020707/1","['-422991']"
"EP/N021304/1","['29791', '28188', '-193870', '-129394', '82752', '119554']"
"EP/N018451/1","['21278', '82722', '112093']"
"EP/N020863/1","['44932', '-436510', '-126494', '17193', '116663', '-484992', '69217', '-489217', '-511776', '-499097', '-530699']"
"EP/L019469/1","['2132', '-401003', '40612', '-107177', '79363', '38217', '8088', '56451', '27648', '96913', '68130']"
"EP/L017725/1","['23987']"
"EP/N508585/1","['68130']"
"EP/P003494/1","['-485238', '-192969', '-174622', '68130']"
"EP/N025954/1","['-117250']"
"EP/K005375/1","['124105']"
"EP/K020331/1","['124327', '-415426', '-26117', '28727']"
"EP/K020080/1","['45339']"
"EP/I033424/1","['100021', '53872', '-189287', '-179089', '45110', '27531', '102298', '-301237', '58212', '127184']"
"EP/L023202/1","['-242117', '14902', '-229952']"
"EP/K03264X/1","['36758', '28516']"
"EP/K032798/1","['38341']"
"EP/J001023/1","['41598', '29058', '40770', '127789']"
"EP/K034332/1","['43874', '-422664', '-399202', '-429500', '44916', '-3143', '73954', '110100', '37796', '-453496', '-466014']"
"EP/M016285/1","['8772']"
"EP/L026910/1","['-421819']"
"EP/N014960/1","['-450006']"
"EP/N016386/1","['-530450']"
"EP/K026844/1","['-121516']"
"EP/N010884/1","['43946', '-399564', '39835', '8523', '-387899', '-518814', '83317']"
"EP/L019426/1","['106128', '12934', '-448635', '-529528']"
"EP/J002100/1","['-79846']"
"EP/K037536/1","['43529', '-191233', '24008']"
"EP/K034251/1","['2762']"
"EP/K034243/1","['66096', '-184887', '-118740']"
"EP/K040995/1","['111963']"
"EP/K040405/1","['-257024', '-398776', '13929', '-427603']"
"EP/J005401/1","['668']"
"EP/N008847/1","['43512', '-389057', '-502981']"
"EP/N008863/1","['-457180', '93015']"
"EP/N008839/1","['114696', '10949', '2673']"
"EP/N021665/1","['-188285', '55443', '-504558']"
"EP/N013506/1","['48095', '50221', '123480', '-109103', '126042', '17160', '-514349', '-494777']"
"EP/N006550/1","['67080', '114477', '-391167']"
"EP/N025245/1","['705', '21300', '-79678', '78808', '103249', '-520771']"
"EP/L001233/1","['111325', '13603']"
"EP/L027232/1","['54941', '46920']"
"EP/L027186/1","['41984', '73824', '-468187']"
"EP/G036713/1","['22809', '78303']"
"EP/N016602/1","['-78497', '-214278', '50168', '41915']"
"EP/K029428/1","['27099']"
"EP/K005693/1","['-411221']"
"EP/N508500/1","['76020']"
"EP/K038427/1","['41915']"
"EP/K038621/1","['50168']"
"EP/K038664/1","['-78497']"
"EP/K030957/1","['-189940', '-124450', '41165', '-72367', '-160869', '22809', '61302', '-414105', '85384']"
"EP/N508950/1","['27218']"
"EP/N005600/1","['14049', '-272444', '-222179', '-77034', '-422441', '-437916', '44245', '-497199']"
"EP/N013670/1","['69209', '-419368']"
"EP/J003964/2","['103620']"
"EP/M014142/1","['76839', '-401170', '8834', '72878', '-422991', '71083']"
"EP/N005740/1","['50432', '6338', '-44492']"
"EP/G037116/1","['27733', '-477486']"
"EP/M014045/1","['68130', '82953', '-391743', '78648', '38923', '99170']"
"EP/M002403/1","['-80766']"
"EP/L015749/1","['-214192', '95505', '99170', '-447980', '68130', '70345']"
"EP/K021036/2","['114387', '-121731', '-108890', '8058']"
"EP/M014371/1","['99170', '-391743', '42759', '14544', '107511', '-424179']"
"EP/J016454/1","['68130', '-214192', '38712', '8058', '75748', '92028', '10789', '10364', '102972', '108198']"
"EP/M023508/1","['38712', '99170', '89691', '-391743']"
"EP/M02346X/1","['68130', '-412432', '-211407']"
"EP/N509887/1","['125790']"
"EP/K021192/1","['44948', '54064', '-13972', '6602', '4962', '26550']"
"EP/K02101X/1","['95505', '41278', '109610']"
"EP/M014304/1","['8058', '-401170', '51123', '-118647', '-108890', '-95621', '-110111', '9071', '44683']"
"EP/N50998X/1","['38712']"
"EP/N021282/1","['-537853']"
"EP/K015214/1","['-79586']"
"EP/J007617/1","['74172', '15688', '84313']"
"EP/L000555/1","['-421253', '-421518', '51232', '-255992']"
"EP/L001802/1","['54555']"
"EP/K033247/1","['69169', '-114929', '-163517']"
"EP/K033042/1","['36580', '-11742', '-107921']"
"EP/L011018/1","['-95224', '-298121']"
"EP/N004221/1","['8305']"
"EP/N022866/1","['-403839']"
"EP/L000725/1","['-170485', '74172', '-154576', '51232', '5628', '75731', '116096', '115093', '-262777']"
"EP/L022699/1","['-211404']"
"EP/L022737/1","['117687']"
"EP/L022656/1","['-283385']"
"EP/K040049/1","['-95896', '-230056']"
"EP/M012824/1","['78845']"
"EP/M027317/1","['-262777', '77443', '15939', '-249355']"
"EP/M026124/1","['-100068', '11400']"
"EP/P009301/1","['-116561', '82502', '73961', '-467365', '119092', '-113628']"
"EP/K032089/1","['49008', '-108456']"
"EP/N015843/1","['-518993']"
"EP/K028243/1","['-189982']"
"EP/K031864/2","['-185954']"
"EP/K015168/1","['100961']"
"EP/M002802/1","['31254', '-24888', '121962']"
"EP/M023974/1","['34203']"
"EP/K032038/1","['-230056']"
"EP/K031929/1","['37647']"
"EP/K032011/1","['41943']"
"EP/M008991/1","['-417391']"
"EP/L021226/1","['8225', '-175506']"
"EP/L020394/1","['3132']"
"EP/N017935/1","['-251986']"
"EP/N018745/1","['35']"
"EP/K011715/1","['84749']"
"EP/K01790X/1","['-89478']"
"EP/M029603/1","['-372514']"
"EP/K025090/1","['-26269', '15129']"
"EP/M018407/1","['-223268']"
"EP/M027651/1","['-227118']"
"EP/M027287/1","['-238808', '-214796']"
"EP/L003406/1","['-253131']"
"EP/M003795/1","['-436999']"
"EP/L00058X/1","['117271', '-157695', '41408', '40151', '84749']"
"EP/N029143/1","['-538135']"
"EP/K005820/1","['41943', '-17078']"
"EP/N028104/1","['-504137', '-464655', '-255930']"
"EP/K039342/1","['54748', '-189227', '80130', '97173', '-325643']"
"EP/N007166/1","['-264123']"
"EP/M018113/1","['-215385']"
"EP/M016803/1","['78845']"
"EP/N011635/1","['-174101', '112230']"
"EP/L02344X/1","['-89478']"
"EP/J002224/2","['-95896']"
"EP/K023837/1","['69411']"
"EP/K040251/2","['10236']"
"EP/P00587X/1","['50539']"
"EP/L022710/1","['-413886', '-467365']"
"EP/L018543/1","['73961', '-249471']"
"EP/M02797X/1","['-493574']"
"EP/J019283/1","['-150371']"
"EP/M01715X/1","['88227', '-79891']"
"EP/L024233/1","['-417790']"
"EP/P00430X/1","['-501821']"
"EP/N022114/1","['56819']"
"EP/K032542/1","['-83706', '-422034', '31078', '-230056']"
"EP/L011794/1","['79430', '77481']"
"EP/J015377/1","['-117299', '120752']"
"EP/M005038/1","['57264', '50943']"
"EP/M004953/1","['4597']"
"EP/M00077X/1","['111070']"
"EP/N023757/1","['98879', '-494043']"
"EP/N026314/1","['-215718']"
"EP/K008528/1","['61326', '49008', '46045', '73912', '3618', '12521', '6120', '59849']"
"EP/N033396/1","['29862']"
"EP/K032674/1","['27394', '118750']"
"EP/N007387/1","['-100098']"
"EP/M01567X/1","['-422022']"
"EP/N020170/1","['75481']"
"EP/N020138/1","['-481535', '6728']"
"EP/K032623/1","['116951', '-428824']"
"EP/K032585/1","['37647']"
"EP/N02706X/1","['-494043']"
"EP/K037633/1","['-247649']"
"EP/N023641/1","['77274', '46590', '2307', '22017']"
"EP/M013286/1","['-464655']"
"EP/N019660/1","['85034']"
"EP/N011163/1","['-161185']"
"EP/P004172/1","['-182055']"
"EP/P004490/1","['-79586']"
"EP/K011707/1","['46590']"
"EP/N014758/1","['39488', '-11556', '77481', '79430', '-99305', '77443', '14582', '2244', '10807', '98328', '-223268']"
"EP/N035372/1","['-215737']"
"EP/M023656/1","['-478128']"
"EP/N028759/1","['15747', '-188637']"
"EP/N027833/1","['84749']"
"EP/N027965/1","['-456154']"
"EP/N024222/1","['-127568']"
"EP/N000110/1","['-503255']"
"EP/M025268/1","['-106108', '36281', '-266029', '-196479', '12161', '120752', '-117299', '104689', '69603', '-489441']"
"EP/N016661/1","['-495806']"
"EP/K009907/1","['-98729']"
"EP/P002692/1","['-513005']"
"EP/N008197/1","['-145660']"
"EP/N003829/1","['-111291']"
"EP/K033921/1","['-105075']"
"EP/K033905/1","['71546', '88857']"
"EP/N019547/1","['-537197']"
"EP/M017176/1","['-188637']"
"EP/M017044/1","['4140', '-114860']"
"EP/N020243/1","['37647']"
"EP/M008118/1","['-416286']"
"EP/N018117/1","['4231', '-9710', '-2391']"
"EP/K504178/1","['91121', '13417', '14228', '45429', '97576', '58708', '21442', '29692']"
"EP/N023846/1","['-475312', '-192235', '29692']"
"EP/N024109/1","['14228']"
"EP/M022463/1","['93407', '92980', '46237', '106738', '112206', '-405074', '-192235', '-186466', '39641']"
"EP/I501045/1","['-213898', '64550', '120121']"
"EP/N009487/1","['38008', '-215131', '-469413', '75950']"
"EP/M02699X/1","['48909']"
"EP/M026671/1","['14109', '53032']"
"EP/M013111/1","['97276']"
"EP/L015722/1","['25950', '54523', '-11497', '97276']"
"EP/L010569/1","['78808', '-137077']"
"EP/J010839/1","['34875', '31891', '58677']"
"EP/M022129/1","['-300941']"
"EP/M021823/1","['82896', '-99419', '10590']"
"EP/K039296/1","['76723', '52344', '-352281']"
"EP/J017973/1","['82896', '-209653', '10590']"
"EP/N03435X/1","['-180790', '-97445', '10636', '106056', '-467571', '-502987', '-547615', '-547284', '-547376', '-547368']"
"EP/N028155/1","['101281']"
"EP/N028074/1","['29749', '-427520', '-462456']"
"EP/M016854/1","['66717']"
"EP/K021699/1","['13540', '29807', '-416208', '-126765', '-118077', '39154', '12300', '78529', '-53186', '-50802', '3138', '-164171', '2975', '54861', '108835', '58780', '124192', '114122', '28462', '118691', '69176', '130377']"
"EP/K022377/1","['-30080', '-13537', '106541']"
"EP/K022369/1","['-199265']"
"EP/N03287X/1","['-491280']"
"EP/L019779/1","['76552']"
"EP/M029433/1","['-422195']"
"EP/K034154/1","['46173', '74448', '65739', '84313']"
"EP/M017427/1","['-454132']"
"EP/K027050/1","['58780', '85131', '-126765', '-107143', '-2609', '77897', '15901', '12687', '4239', '57299', '102088', '22135', '118691']"
"EP/N009215/1","['-115825', '-502987']"
"EP/N009207/1","['50637', '-79660', '-485949', '-487506']"
"EP/K006665/1","['7892']"
"EP/K005847/2","['-118075', '-189432']"
"EP/K006002/1","['-118075']"
"EP/N018168/1","['-457141']"
"EP/M015483/1","['-100624']"
"EP/M020177/1","['77897', '29675', '-421819', '115718', '12687']"
"EP/M020355/1","['106937', '11292', '-97445']"
"EP/M019527/1","['-126765']"
"EP/M019713/1","['-456547']"
"EP/N030532/1","['-447749']"
"EP/M025276/1","['12687', '76552', '87331', '-118075', '102801', '53074', '-395173', '37401']"
"EP/K011502/1","['8623', '81457', '8754']"
"EP/K00963X/1","['72526', '-3837', '-111569', '16509']"
"EP/K008595/1","['41984', '-212193', '-209647']"
"EP/N005228/1","['-460013']"
"EP/N011112/1","['8623']"
"EP/N011236/1","['111325', '13603']"
"EP/N011341/1","['72526', '16509', '-3837']"
"EP/N019180/1","['-495202']"
"EP/K038486/1","['98852', '76172']"
"EP/K038567/1","['67244']"
"EP/K038494/1","['43886']"
"EP/K038451/1","['41915']"
"EP/N019067/1","['-536867']"
"EP/N034546/1","['28948', '-89872']"
"EP/N035305/1","['-393155', '-462561']"
"EP/N015525/1","['10318', '-188326', '-362298']"
"EP/N00616X/2","['-347946']"
"EP/J002526/1","['-170420']"
"EP/M029263/1","['-373614', '-474295']"
"EP/L00416X/1","['106527', '-116873', '127556', '-416512', '-252393', '125250']"
"EP/K039784/1","['-429935', '-106860', '-34646', '-17798', '108938']"
"EP/L027658/1","['-471002']"
"EP/M000346/1","['15576', '-183152']"
"EP/L023849/1","['32038', '-188970']"
"EP/L023601/1","['-217994', '54142', '-158643']"
"EP/P004342/1","['-424971']"
"EP/N013948/1","['-114894', '-188117', '-58690']"
"EP/K039695/1","['42254', '-439742', '-87582', '-80086', '103969']"
"EP/K006568/1","['-17480', '-87126', '-86618', '-413931', '-248196']"
"EP/L023504/1","['109935', '-419520']"
"EP/N028252/1","['10318', '-463277']"
"EP/N028422/1","['-87106', '-414546', '-140023', '3618', '-163778', '-461902']"
"EP/K025619/2","['-424411', '-271973']"
"EP/N023242/1","['84353', '95298']"
"EP/N02334X/1","['80062', '32038', '-443602', '123849', '-504137']"
"EP/N023358/1","['78277']"
"EP/N023234/1","['36017', '80313']"
"EP/N022912/1","['6610']"
"EP/N02298X/1","['108593', '-456155']"
"EP/N02317X/1","['-224585']"
"EP/N023013/1","['4049', '128838']"
"EP/N028260/1","['-419520', '-140023', '10387', '13520', '-15330']"
"EP/N021657/1","['80313', '-116620', '-160266']"
"EP/M000206/2","['83362', '48889']"
"EP/L016176/1","['48889', '28147']"
"EP/L015463/1","['1219', '125669']"
"EP/N026977/1","['15576', '-183152', '-5004', '5779', '96138']"
"EP/N02561X/1","['-196384']"
"EP/K025848/1","['-413184']"
"EP/M019055/1","['120139']"
"EP/N027299/1","['122272', '-10248', '57066', '41037', '109944']"
"EP/N005619/1","['-437909']"
"EP/M017133/1","['-79626']"
"EP/N028295/1","['93822', '-197778', '43613', '111688']"
"EP/N028279/1","['-395173']"
"EP/N028287/1","['51660', '-169260']"
"EP/N028058/1","['125583']"
"EP/M021882/1","['108953']"
"EP/N022785/1","['-462042']"
"EP/N007816/1","['-487935']"
"EP/M000877/1","['1219', '50078', '103872', '13520', '-389788', '-15330']"
"EP/M016528/1","['-443802']"
"EP/K039857/1","['53920', '-369585', '76665', '79610', '105984']"
"EP/M001636/1","['-15330']"
"EP/M015327/1","['76197']"
"EP/L004062/1","['-86618', '131198', '-402175', '-106120']"
"EP/M00421X/1","['-114894']"
"EP/M025055/1","['49445', '-393155', '-244148']"
"EP/K015796/1","['13969', '-1970']"
"EP/K015761/1","['-182177']"
"EP/K015826/1","['36281', '-421541', '-8193']"
"EP/L023911/1","['-87106', '-414546', '-461902']"
"EP/N012089/1","['-417030', '-228617', '83240', '-448264', '-493529']"
"EP/N011899/1","['37850', '-409979', '56861']"
"EP/M022722/1","['-114894', '117687', '15654', '120065', '-160495', '-118249', '-115191']"
"EP/K015850/1","['90168']"
"EP/M506813/1","['109496']"
"EP/K014080/2","['-239987']"
"EP/K014072/1","['59146', '89714', '115024']"
"EP/K014064/1","['13313', '-20277']"
"EP/M023583/1","['12295', '29307', '44068', '-182984', '-149568', '43140']"
"EP/N011074/1","['-360708', '-326013']"
"EP/L505316/1","['62200', '-458367']"
"EP/M001768/1","['49980', '31886']"
"EP/M00189X/1","['5270']"
"EP/N035399/1","['-9883']"
"EP/L017253/1","['-388795']"
"EP/N022750/1","['470', '-423574']"
"EP/M008479/1","['42706']"
"EP/N007743/1","['8936', '-182794', '-115276', '25478', '-365465', '-386104']"
"EP/M02153X/1","['-435271']"
"EP/M01469X/1","['-129203']"
"EP/K005952/1","['-64990', '-117281', '-295687']"
"EP/L017016/1","['-19872']"
"EP/K040057/1","['42549', '55713']"
"EP/L001012/1","['-201783']"
"EP/M020533/1","['81544', '470', '6974', '-204179']"
"EP/M006255/1","['13969', '-421541', '95645', '97690', '-490101']"
"EP/N030540/1","['-460396']"
"EP/J005223/1","['49980']"
"EP/N025849/1","['-539618']"
"EP/M013774/1","['17768', '62200', '72946', '-463634', '-441617']"
"EP/L02764X/1","['-461775']"
"EP/N012402/1","['16440']"
"EP/N012372/1","['-212765', '84280', '38417']"
"EP/N012240/1","['11300']"
"EP/K011766/1","['-1912']"
"EP/M006905/1","['99680', '-1825', '72832']"
"EP/L022125/1","['2683', '61551', '50145', '-153431', '-132821', '-24334', '72554', '5779', '72692', '-95963', '15576', '7940', '10965', '14808', '102086', '98699', '37796', '61977', '27937', '113823', '122900', '-432071', '115654', '-466014', '-465660', '-465702', '31745', '-242443', '87566']"
"EP/L014564/1","['82348']"
"EP/L013932/1","['-107082']"
"S/A000025/1","['80543', '-517324', '-412240', '-161566', '-128033', '-110198', '-89740', '33651', '56407', '65508', '77032', '96691', '99787', '117175']"
"EP/L026015/1","['7956', '-186860', '93906', '-37554']"
"EP/K020919/1","['74459']"
"EP/K020218/1","['54148', '-189931']"
"EP/K014137/1","['39084', '-128441', '3262', '7360', '95505', '109610']"
"EP/K039598/1","['120322', '7938', '-227176', '126351']"
"EP/M507702/1","['94384']"
"EP/M00158X/1","['27121']"
"EP/L012138/1","['71179', '-196479', '-192991', '-185626', '-186548', '-106108', '-266029']"
"EP/L021188/1","['75923', '48741', '78065', '-80280', '56034', '123741', '-278130', '-455415', '-462568']"
"EP/L005859/1","['54104', '-193275', '-103369', '-88478']"
"EP/N014359/1","['71179', '-196479', '-192991', '-185626', '-186548']"
"EP/K009923/1","['-86462', '70008']"
"EP/L015358/1","['44685', '56426']"
"EP/K031953/1","['-11502', '-211119', '-174437', '-13639', '-12224', '-12211', '-3433', '92833', '98121', '6929', '23970', '109191', '-326631', '119191', '34258', '29633']"
"EP/N015924/1","['102086']"
"EP/N015533/1","['2683']"
"EP/M012646/1","['109145', '-10366', '-491238']"
"EP/M012670/1","['87358', '-157812', '-241815']"
"EP/L026120/1","['62131', '-11022', '-97321', '45632', '-241485']"
"EP/M007316/1","['-446167']"
"EP/N023056/1","['-117299']"
"EP/K00607X/1","['-192991']"
"EP/L021285/1","['115201', '47213', '112412', '68212', '-255274']"
"EP/L021080/1","['-14717', '14861', '91035', '121701']"
"EP/M005852/1","['-185626']"
"EP/N027426/1","['-37716']"
"EP/M017567/1","['-300675', '109496']"
"EP/N01426X/1","['-156057', '-170988', '44685', '124382']"
"EP/L021250/1","['70008', '-151735', '-118604', '-86462']"
"EP/L014149/1","['68959', '-125128', '42685', '125756', '-391365', '-456846']"
"EP/L02375X/1","['-6883']"
"EP/N025342/1","['72920', '-89125', '66246']"
"EP/I036079/1","['49454']"
"EP/M002411/1","['80386']"
"EP/P510221/1","['50962']"
"EP/K015060/1","['-110248']"
"EP/K015141/1","['-253807']"
"EP/M017583/1","['-283783']"
"EP/L014637/1","['15493', '99032']"
"EP/M005860/1","['-230979']"
"EP/K028707/1","['-259358', '-422664']"
"EP/N026799/1","['-434772']"
"EP/L010720/1","['61635']"
"EP/M006514/1","['-305040', '2220', '-81496']"
"EP/M006859/1","['27588']"
"EP/M002780/1","['80313', '7956', '34084', '-433566']"
