"EP/N032950/1","['-555040']"
"EP/J009148/1","['34571']"
"EP/N010825/1","['-96417', '-118303']"
"EP/M000192/1","['-2460']"
"EP/K005138/1","['-215480']"
"EP/K00509X/1","['91989']"
"EP/L020505/1","['-180311']"
"EP/N005961/1","['-79145', '89259', '-244718', '-187589', '-389063', '-422441', '-422960', '-497199']"
"EP/G037736/1","['51118']"
"EP/G03690X/1","['54523', '83430']"
"EP/M013677/1","['106038']"
"EP/N014278/1","['48653', '57710', '-249907', '-218294']"
"EP/M015661/1","['-47636']"
"EP/M015688/1","['49796']"
"EP/N018494/1","['-427945', '-396266', '17176', '115013', '-527971', '-527920']"
"EP/M015777/1","['-25791']"
"EP/K008250/1","['88227', '-21859']"
"EP/M019454/1","['-113552', '111729']"
"EP/M019284/1","['90639']"
"EP/J017787/1","['-182794', '77032', '-365465']"
"EP/N014871/1","['71452']"
"EP/M01553X/1","['54937']"
"EP/L022702/1","['-448597', '-410653', '106617']"
"EP/K009575/1","['96326']"
"EP/K009850/1","['-394954']"
"EP/K009362/1","['-197015']"
"EP/K036580/1","['-286050']"
"EP/N011589/1","['-501777']"
"EP/J003077/1","['88711']"
"EP/J002135/1","['109531']"
"EP/M019780/1","['-475436']"
"EP/K021516/1","['-123345']"
"EP/K020153/1","['53511', '-170360']"
"EP/E501311/1","['-129543']"
"EP/M009130/1","['30815']"
"EP/N020111/1","['-387231', '-483294']"
"EP/J004049/3","['98328']"
"EP/L020319/1","['117238', '-186498', '-420069']"
"EP/M006093/1","['-113200', '14556', '61394', '32038', '107620', '120114', '122272', '-99600', '-2886', '81544']"
"EP/M020576/1","['-413931', '112609', '-407759', '-205720', '-185192', '-184797', '-90040', '-86618', '-17480']"
"EP/N508664/1","['10417', '66486', '90240', '52947', '106001', '113229', '-403839', '-504552', '-503185', '-521838']"
"EP/N02026X/1","['-535256', '29356']"
"EP/J017515/1","['47895', '-368495', '32288', '-207482', '76174', '36435']"
"EP/N028112/1","['-105053', '-88741', '80313', '71248', '29862', '-504140']"
"EP/M000060/1","['-124229']"
"EP/M017915/1","['75321', '-117223', '83429']"
"EP/M017869/1","['-367574', '-193159']"
"EP/N014162/1","['96138', '73220', '-530923']"
"EP/M013510/1","['52022', '-440168', '9340']"
"EP/L011891/1","['125669', '61541', '1488']"
"EP/M005429/1","['-392419', '54937', '-482875']"
"EP/G036306/1","['29307', '49138', '52422', '-17448', '-2886']"
"EP/G036926/1","['6610', '14179', '-206241', '-104188', '61541']"
"EP/K015664/2","['84313', '-258048', '-90064']"
"EP/L01632X/1","['22235', '-404511', '-404614', '21502', '109935', '-449695', '70990', '-449009']"
"EP/L015897/1","['37987', '127556']"
