"EP/N022513/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/M011224/1","['Algebra & Geometry', 'Mathematical Analysis']"
"EP/M016773/1","['Algebra & Geometry', 'Mathematical Analysis', 'Numerical Analysis']"
"EP/L026481/1","['Algebra & Geometry']"
"EP/L025485/1","['Algebra & Geometry']"
"EP/L025302/1","['Algebra & Geometry']"
"EP/M029719/1","['Algebra & Geometry']"
"EP/J500926/1","['Algebra & Geometry', 'Continuum Mechanics', 'Logic & Combinatorics', 'Mathematical Analysis', 'Mathematical Physics', 'Non-linear Systems Mathematics', 'Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/M027147/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/J001686/2","['Algebra & Geometry', 'Continuum Mechanics']"
"EP/K019430/1","['Algebra & Geometry', 'Mathematical Analysis', 'Mathematical Physics']"
"EP/L01078X/1","['Algebra & Geometry']"
"EP/N022432/1","['Algebra & Geometry', 'Mathematical Analysis', 'Mathematical Physics']"
"EP/L000865/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/N007883/1","['Algebra & Geometry', 'Complex fluids & soft solids']"
"EP/K016687/1","['Algebra & Geometry', 'Logic & Combinatorics']"
"EP/N029828/1","['Algebra & Geometry']"
"EP/J010790/1","['Algebra & Geometry', 'Mathematical Physics']"
"EP/P004881/1","['Algebra & Geometry']"
"EP/N022653/1","['Algebra & Geometry', 'Logic & Combinatorics', 'Mathematical Physics']"
"EP/J500045/1","['Analytical Science']"
"EP/N018834/1","['Analytical Science', 'Digital Signal Processing', 'Instrumentation Eng. & Dev.']"
"EP/P00153X/1","['Analytical Science', 'Chemical Structure', 'Instrumentation Eng. & Dev.']"
"EP/L005913/1","['Analytical Science', 'Gas & Solution Phase Reactions']"
"EP/L012952/1","['Analytical Science', 'Biomedical sciences']"
"EP/M022501/1","['Analytical Science', 'Materials Characterisation']"
"EP/I033394/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Materials Characterisation', 'Materials Synthesis & Growth']"
"EP/N002148/1","['Analytical Science']"
"EP/M029425/1","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Networks & Distributed Systems']"
"EP/L024748/1","['Analytical Science', 'Biological & Medicinal Chem.', 'Drug Formulation & Delivery']"
"EP/J018058/1","['Analytical Science', 'Catalysis & Applied Catalysis']"
"EP/L006227/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/M004120/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Separation Processes']"
"EP/N028945/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/M00869X/1","['Analytical Science']"
"EP/K007785/1","['Analytical Science', 'Co-ordination Chemistry', 'Electrochemical Science & Eng.']"
"EP/L02098X/1","['Analytical Science', 'Electrochemical Science & Eng.', 'Instrumentation Eng. & Dev.']"
"EP/N020901/1","['Analytical Science', 'Biological & Medicinal Chem.', 'Chemical Biology', 'Chemical Synthetic Methodology']"
"EP/L016044/1","['Analytical Science', 'Bioinformatics', 'Biological & Medicinal Chem.', 'Chemical Biology', 'Genomics', 'Medical science & disease', 'Statistics & Appl. Probability', 'Theoretical biology']"
"EP/L015889/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/L016753/1","['Analytical Science', 'Bioelectronic Devices', 'Chemical Structure', 'Electronic Devices & Subsys.', 'Optoelect. Devices & Circuits']"
"EP/L015307/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/L016346/1","['Analytical Science', 'Biomaterials', 'Chemical Biology', 'Image & Vision Computing', 'Med.Instrument.Device& Equip.']"
"EP/L016036/1","['Analytical Science']"
"EP/J003921/1","['Analytical Science']"
"EP/L019124/1","['Analytical Science', 'Chemical Biology']"
"EP/M009963/1","['Analytical Science']"
"EP/M010708/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/J002151/2","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Optical Devices & Subsystems']"
"EP/J00278X/1","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Optical Devices & Subsystems']"
"EP/J002178/1","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Optical Devices & Subsystems']"
"EP/N009126/1","['Analytical Science', 'Manufacturing Machine & Plant']"
"EP/M022749/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Electrochemical Science & Eng.', 'Fuel Cell Technologies', 'Materials Characterisation']"
"EP/L022524/1","['Analytical Science', 'Chemical Structure']"
"EP/M024393/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Chemical Biology']"
"EP/L018500/1","['Analytical Science']"
"EP/L014165/1","['Analytical Science', 'Biophysics', 'Information & Knowledge Mgmt', 'Statistics & Appl. Probability']"
"EP/G037280/1","['Analytical Science', 'Bioinformatics', 'Biological & Medicinal Chem.', 'Chemical Biology', 'Genomics', 'Medical science & disease', 'Statistics & Appl. Probability', 'Theoretical biology']"
"EP/L025833/1","['Analytical Science', 'Gas & Solution Phase Reactions']"
"EP/M024660/1","['Analytical Science', 'Chemical Structure']"
"EP/I003983/1","['Analytical Science', 'Biological & Medicinal Chem.', 'Cells']"
"EP/M012425/1","['Analytical Science', 'Med.Instrument.Device& Equip.', 'Med.Instrument.Device& Equip.']"
"EP/N002482/1","['Analytical Science', 'Asymmetric Chemistry']"
"EP/F500424/1","['Analytical Science', 'Bioinformatics', 'Chemical Biology', 'Genomics']"
"EP/F500378/1","['Analytical Science', 'Bioinformatics', 'Chemical Biology']"
"EP/F50053X/1","['Analytical Science', 'Bioinformatics', 'Biological & Medicinal Chem.', 'Biomedical neuroscience', 'Chemical Biology', 'Image & Vision Computing', 'Med.Instrument.Device& Equip.', 'Tissue Engineering']"
"EP/N009282/1","['Analytical Science', 'Biophysics', 'Chemical Biology', 'Chemical Synthetic Methodology']"
"EP/L001322/1","['Analytical Science', 'Chemical Biology']"
"EP/L00111X/1","['Analytical Science', 'Chemical Biology']"
"EP/M006204/1","['Analytical Science']"
"EP/K03197X/1","['Analytical Science', 'Digital Signal Processing', 'Optical Devices & Subsystems']"
"S/A000020/1","['Analytical Science']"
"EP/M013820/1","['Analytical Science']"
"EP/M010619/1","['Analytical Science', 'Image & Vision Computing', 'Instrumentation Eng. & Dev.', 'Med.Instrument.Device& Equip.']"
"EP/L023490/1","['Analytical Science', 'Surfaces & Interfaces']"
"EP/N007034/1","['Analytical Science']"
"EP/N006895/1","['Analytical Science']"
"EP/N006909/1","['Analytical Science']"
"EP/J002542/1","['Analytical Science', 'Carbohydrate Chemistry', 'Chemical Synthetic Methodology']"
"EP/M006301/1","['Analytical Science', 'Materials Synthesis & Growth']"
"EP/G03737X/1","['Analytical Science', 'Biomaterials', 'Electronic Devices & Subsys.', 'Materials testing & eng.']"
"EP/N007875/1","['Analytical Science']"
"EP/L005697/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.']"
"EP/L005646/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.']"
"EP/K034936/1","['Analytical Science', 'Chemical Biology', 'Chemical Synthetic Methodology']"
"EP/N02673X/1","['Analytical Science', 'Materials Synthesis & Growth']"
"EP/N021630/1","['Analytical Science']"
"EP/K005073/1","['Analytical Science', 'Chemical Structure']"
"EP/N019563/1","['Analytical Science']"
"EP/K022792/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Gas & Solution Phase Reactions']"
"EP/N009185/1","['Analytical Science', 'Co-ordination Chemistry']"
"S/A000017/1","['Analytical Science']"
"EP/K006851/1","['Analytical Science', 'Co-ordination Chemistry', 'Electrochemical Science & Eng.', 'Surfaces & Interfaces']"
"EP/K017322/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Gas & Solution Phase Reactions', 'Instrumentation Eng. & Dev.']"
"EP/K027263/1","['Analytical Science', 'Chemical Synthetic Methodology', 'Surfaces & Interfaces']"
"EP/J002518/1","['Analytical Science', 'Instrumentation Eng. & Dev.']"
"EP/L024772/1","['Analytical Science', 'Biological & Medicinal Chem.', 'Drug Formulation & Delivery']"
"EP/N022769/1","['Analytical Science', 'Chemical Structure']"
"EP/N032055/1","['Analytical Science', 'Medical Imaging', 'Tissue Engineering']"
"EP/K007467/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Surfaces & Interfaces']"
"EP/K023373/1","['Analytical Science']"
"EP/K023349/1","['Analytical Science', 'Instrumentation Eng. & Dev.', 'Med.Instrument.Device& Equip.']"
"EP/K02311X/1","['Analytical Science']"
"EP/N032950/1","['Analytical Science', 'Gas & Solution Phase Reactions', 'Instrumentation Eng. & Dev.']"
"EP/J009148/1","['Analytical Science', 'Chemical Biology', 'Gas & Solution Phase Reactions']"
"EP/N010825/1","['Analytical Science', 'Catalysis & Applied Catalysis', 'Light-Matter Interactions', 'Materials Processing', 'Optoelect. Devices & Circuits']"
"EP/M000192/1","['Analytical Science']"
"EP/K005138/1","['Analytical Science']"
"EP/K00509X/1","['Analytical Science', 'Chemical Structure']"
"EP/L020505/1","['Animal behaviour', 'Artificial Intelligence', 'Digital Signal Processing', 'Music & Acoustic Technology']"
"EP/N005961/1","['Animal organisms', 'Coastal & Waterway Engineering', 'Coastal & Waterway Engineering', 'Complexity Science', 'Earth & environmental']"
"EP/G037736/1","['Applied Arts HTP', 'Computer Graphics & Visual.', 'Digital Art & Design', 'Digital Arts HTP', 'Multimedia', 'New Media/Web-Based Studies', 'Time-Based Media HTP']"
"EP/G03690X/1","['Artificial Intelligence', 'Chemical Structure', 'Complexity Science', 'Fluid Dynamics', 'Information & Knowledge Mgmt', 'Materials Characterisation', 'Medical science & disease', 'Pollution', 'Population Ecology', 'Quantum Optics & Information']"
"EP/M013677/1","['Artificial Intelligence']"
"EP/N014278/1","['Artificial Intelligence', 'Comput./Corpus Linguistics', 'Human-Computer Interactions']"
"EP/M015661/1","['Artificial Intelligence', 'Bioinformatics', 'Human-Computer Interactions', 'Information & Knowledge Mgmt', 'Robotics & Autonomy']"
"EP/M015688/1","['Artificial Intelligence', 'Bioinformatics', 'Human-Computer Interactions', 'Information & Knowledge Mgmt', 'Robotics & Autonomy']"
"EP/N018494/1","['Artificial Intelligence', 'Manufacturing Machine & Plant', 'Manufacturing Machine & Plant', 'Manufacturing Machine & Plant', 'Robotics & Autonomy']"
"EP/M015777/1","['Artificial Intelligence', 'Image & Vision Computing', 'Information & Knowledge Mgmt', 'Robotics & Autonomy']"
"EP/K008250/1","['Artificial Intelligence', 'Bioinformatics']"
"EP/M019454/1","['Artificial Intelligence', 'Control Engineering', 'Image & Vision Computing', 'Robotics & Autonomy']"
"EP/M019284/1","['Artificial Intelligence', 'Control Engineering', 'Image & Vision Computing', 'Robotics & Autonomy']"
"EP/J017787/1","['Artificial Intelligence', 'Image & Vision Computing', 'Vision & Senses - ICT appl.']"
"EP/N014871/1","['Artificial Intelligence', 'Comput./Corpus Linguistics']"
"EP/M01553X/1","['Artificial Intelligence']"
"EP/L022702/1","['Artificial Intelligence', 'Information & Knowledge Mgmt', 'Psychology']"
"EP/K009575/1","['Artificial Intelligence', 'Statistics & Appl. Probability']"
"EP/K009850/1","['Artificial Intelligence', 'Statistics & Appl. Probability']"
"EP/K009362/1","['Artificial Intelligence', 'Statistics & Appl. Probability']"
"EP/K036580/1","['Artificial Intelligence', 'Comput./Corpus Linguistics', 'Psychology', 'Statistics & Appl. Probability']"
"EP/N011589/1","['Artificial Intelligence', 'Human-Computer Interactions', 'Information & Knowledge Mgmt']"
"EP/J003077/1","['Artificial Intelligence', 'Human-Computer Interactions', 'Music & Acoustic Technology']"
"EP/J002135/1","['Artificial Intelligence', 'Human-Computer Interactions', 'Music & Acoustic Technology']"
"EP/M019780/1","['Artificial Intelligence']"
"EP/K021516/1","['Artificial Intelligence', 'Digital Signal Processing', 'Statistics & Appl. Probability']"
"EP/K020153/1","['Artificial Intelligence', 'Digital Signal Processing', 'Statistics & Appl. Probability']"
"EP/E501311/1","['Artificial Intelligence', 'Complexity Science', 'New & Emerging Comp. Paradigms', 'Non-linear Systems Mathematics', 'Statistics & Appl. Probability']"
"EP/M009130/1","['Artificial Intelligence', 'Fundamentals of Computing', 'Robotics & Autonomy']"
"EP/N020111/1","['Artificial Intelligence', 'Cognitive Psychology', 'Human-Computer Interactions']"
"EP/J004049/3","['Artificial Intelligence', 'Cognitive Science Appl. in ICT', 'Digital Art & Design', 'Fundamentals of Computing', 'Human-Computer Interactions']"
"EP/L020319/1","['Artificial Intelligence', 'Statistics & Appl. Probability']"
"EP/M006093/1","['Artificial Intelligence', 'Computer Graphics & Visual.', 'Image & Vision Computing', 'Instrumentation Eng. & Dev.', 'Statistics & Appl. Probability']"
"EP/M020576/1","['Artificial Intelligence', 'Criminal Law & Criminology', 'Criminology', 'Fundamentals of Computing', 'Information & Knowledge Mgmt', 'Networks & Distributed Systems']"
"EP/N508664/1","['Artificial Intelligence', 'Control Engineering', 'Electronic Devices & Subsys.', 'Fundamentals of Computing', 'Information & Knowledge Mgmt', 'Mobile Computing', 'Networks & Distributed Systems', 'RF & Microwave Technology']"
"EP/N02026X/1","['Artificial Intelligence', 'Networks & Distributed Systems']"
"EP/J017515/1","['Artificial Intelligence', 'Fundamentals of Computing', 'Mathematical Aspects of OR', 'Software Engineering']"
"EP/N028112/1","['Artificial Intelligence', 'Human-Computer Interactions', 'Information & Knowledge Mgmt', 'Media & Communication Studies', 'Social Policy', 'Social Psychology']"
"EP/M000060/1","['Artificial Intelligence', 'Comput./Corpus Linguistics', 'Information & Knowledge Mgmt', 'Music & Acoustic Technology']"
"EP/M017915/1","['Artificial Intelligence']"
"EP/M017869/1","['Artificial Intelligence']"
"EP/N014162/1","['Artificial Intelligence', 'Information & Knowledge Mgmt']"
"EP/M013510/1","['Artificial Intelligence', 'Developmental Psychology', 'Human Communication in ICT', 'Human-Computer Interactions', 'Robotics & Autonomy']"
"EP/L011891/1","['Artificial Intelligence', 'Human-Computer Interactions', 'Image & Vision Computing', 'Information & Knowledge Mgmt']"
"EP/M005429/1","['Artificial Intelligence', 'Comput./Corpus Linguistics']"
"EP/G036306/1","['Artificial Intelligence', 'Economics', 'Human-Computer Interactions', 'Management & Business Studies', 'Networks & Distributed Systems', 'Software Engineering', 'Statistics & Appl. Probability']"
"EP/G036926/1","['Artificial Intelligence', 'Information & Knowledge Mgmt', 'Media & Communication Studies', 'Multimedia', 'Networks & Distributed Systems', 'New Media/Web-Based Studies', 'Social Anthropology']"
"EP/K015664/2","['Artificial Intelligence', 'Human-Computer Interactions', 'Image & Vision Computing']"
"EP/L01632X/1","['Artificial Intelligence', 'Computer Graphics & Visual.', 'Human-Computer Interactions', 'Image & Vision Computing', 'Music & Acoustic Technology']"
"EP/L015897/1","['Artificial Intelligence', 'Image & Vision Computing', 'Robotics & Autonomy', 'Robotics & Autonomy', 'Robotics & Autonomy', 'Robotics & Autonomy']"
"EP/L016427/1","['Artificial Intelligence', 'Fundamentals of Computing', 'Information & Knowledge Mgmt']"
