"GR/L69008/01","['Chemical Synthetic Methodology']"
"GR/L89679/01","['Information & Knowledge Mgmt']"
"GR/L89655/01","['Information & Knowledge Mgmt']"
"GR/L02333/01","['Surfaces & Interfaces']"
"GR/M93963/01","['Building Ops & Management']"
"GR/M93925/01","['Building Ops & Management']"
"GR/F94279/01","[]"
"GR/G20721/01","[]"
"GR/J49341/01","['Ground Engineering']"
"GR/J44032/01","['Design & Testing Technology']"
"GR/K01551/01","[]"
"GR/K67397/01","['Human Communication in ICT']"
"GR/K68776/01","['Human Communication in ICT']"
"GR/K48884/01","['Instrumentation Eng. & Dev.']"
"GR/K73381/01","['Instrumentation Eng. & Dev.', 'Lasers & Optics']"
"GR/L00995/01","['Image & Vision Computing']"
"GR/L68551/01","['Eng. Dynamics & Tribology']"
"GR/H14304/01","[]"
"GR/L33924/01","['Robotics & Autonomy']"
"GR/H20442/01","[]"
"GR/K88071/01","['Materials Characterisation']"
"GR/K88071/02","['Materials Characterisation']"
"GR/M65403/01","['Energy Efficiency', 'Heat & Mass Transfer', 'Manufacturing Machine & Plant']"
"GR/K88934/01","['Energy Efficiency', 'Water Engineering']"
"GR/H44684/01","['Networks & Distributed Systems']"
"GR/M49922/01","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"GR/L42032/01","['Surfaces & Interfaces']"
"GR/M34638/01","['Materials Characterisation']"
"GR/M03481/01","['Human Communication in ICT']"
"GR/M00657/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/M00657/02","['Manufact. Enterprise Ops& Mgmt']"
"GR/H21685/01","[]"
"GR/H94986/01","['Condensed Matter Physics']"
"GR/G20264/01","[]"
"GR/J72172/01","['Chemical Synthetic Methodology']"
"GR/L80317/01","['Continuum Mechanics']"
"GR/K76993/01","['Civil Engineering Materials']"
"GR/K03043/01","['Mathematical Aspects of OR']"
"GR/G32564/01","[]"
"GR/M37479/01","['Chemical Synthetic Methodology', 'Gas & Solution Phase Reactions']"
"GR/K80310/01","['Energy Efficiency', 'Power Sys Man, Prot & Control']"
"GR/H11488/01","[]"
"GR/H48576/01","['Civil Engineering Materials']"
"GR/L41479/01","['Manufact. Business Strategy']"
"GR/L41479/02","['Manufact. Business Strategy']"
"GR/K26226/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/K18269/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/L00230/01","['Manufact. Enterprise Ops& Mgmt']"
"GR/M02675/01","['Software Engineering']"
"GR/K05832/01","['Complex fluids & soft solids']"
"GR/H27885/01","['Materials Characterisation']"
"GR/J63392/01","['Separation Processes']"
"GR/M29337/01","['Materials Processing']"
"GR/M86705/01","['Catalysis & Applied Catalysis', 'Combustion', 'Plasmas - Technological']"
"GR/K86732/01","['Manufacturing Machine & Plant']"
"GR/M53974/01","['Biological & Medicinal Chem.', 'Catalysis & Applied Catalysis', 'Complex fluids & soft solids']"
"GR/M51161/01","['Instrumentation Eng. & Dev.', 'Multiphase Flow', 'Particle Technology']"
"GR/G09894/01","[]"
"GR/G58878/01","[]"
"GR/J46845/01","['RF & Microwave Technology']"
"GR/K74043/01","['Digital Signal Processing']"
"GR/M70070/01","['Networks & Distributed Systems']"
"GR/L84988/01","['Materials Characterisation']"
"GR/F78330/01","[]"
"GR/M23069/01","['Urban & Land Management']"
"GR/J40621/01","['Materials Characterisation', 'Optoelect. Devices & Circuits']"
"GR/M15217/01","['Chemical Synthetic Methodology']"
"GR/L50419/01","['Networks & Distributed Systems']"
"GR/J28629/01","[]"
"GR/L68797/01","['Particle Technology']"
"GR/L80904/01","['Transport Ops & Management']"
"GR/M67490/01","['Analytical Science']"
"GR/M77260/01","['Chemical Structure', 'Materials Characterisation']"
"GR/H73479/01","['Catalysis & Applied Catalysis']"
"GR/M23052/01","['Materials Characterisation', 'Non-linear Systems Mathematics']"
"GR/M16702/01","['Water Engineering']"
"GR/M15545/01","['Water Engineering']"
"GR/M16405/01","['Water Engineering']"
"GR/L28692/01","['Human-Computer Interactions']"
"GR/J40829/01","['Materials Characterisation', 'Solar Technology']"
"GR/J81976/01","['Chemical Structure']"
"GR/M41773/01","['Chemical Synthetic Methodology', 'Instrumentation Eng. & Dev.']"
"GR/L48232/01","['Surfaces & Interfaces']"
"GR/G18223/01","[]"
"GR/M87368/01","['Instrumentation Eng. & Dev.']"
"GR/M55725/01","['Instrumentation Eng. & Dev.', 'Water Engineering']"
"GR/M41155/01","['Statistics & Appl. Probability']"
"GR/L57265/01","['Instrumentation Eng. & Dev.']"
"GR/J97250/01","['Chemical Synthetic Methodology']"
"GR/K41113/01","['Chemical Structure']"
"GR/J99292/01","['Information & Knowledge Mgmt']"
"GR/G38375/01","[]"
"GR/N14491/01","['Scattering & Spectroscopy']"
"GR/K85001/01","['Construction Ops & Management']"
"GR/L62801/01","['Materials Characterisation']"
"GR/L62498/02","['Materials Characterisation']"
"GR/L62498/01","['Materials Characterisation']"
"GR/L32460/01","['Analytical Science']"
"GR/K90531/01","['Materials Processing']"
"GR/M47522/01","['Materials Characterisation', 'Materials Synthesis & Growth']"
"GR/K89276/01","['Condensed Matter Physics']"
