"GR/N03679/01","[[['evans, professor p', '44739'], ['flower, dr m', '39983'], ['rowbottom, dr c', '74486'], ['bamber, dr jc', '62151'], ['webb, professor s', '16717'], ['ott, professor r', '-77182']], 85069]"
"GR/G06879/01","[[['glover, dr i', '5997'], ['greenhough, professor tj', '6335']], 82000]"
"GR/H68512/01","[[['sutcliffe, professor b', '15331']], 2380]"
"GR/H66808/01","[[['boothroyd, professor at', '1655'], ['cowley, professor r', '3452']], 9000]"
"GR/H75275/01","[[['tsang, professor e', '16038'], ['doran, prof j', '4343'], ['wang, dr c', '16522']], 81585]"
"GR/K41625/01","[[['catlow, professor r', '2663'], ['mackrodt, dr w', '34911'], ['gillan, professor m', '5916'], ['islam, professor ms', '8088'], ['price, professor g', '25224'], ['rodger, dr r', '13526'], ['harris, professor kdm', '6831'], ['clarke, professor j', '2984'], ['harker, professor a', '43548'], ['harding, professor j', '44257'], ['hillier, professor i', '7332'], ['rodger, professor pm', '93270'], ['allan, professor nl', '213'], ['price, professor sl', '12751'], ['parker, professor sc', '21422'], ['tildesley, professor d', '-460313'], ['allan, dr n', '33127'], ['jackson, dr ra', '35916'], ['gale, dr j', '29332'], ['saunders, dr v', '36598'], ['leslie, dr m', '36599'], ['corish, professor j', '36617'], ['turpin, dr m', '36618'], ['carr, dr s', '36619']], 93837]"
"GR/L04931/01","[[['catlow, professor r', '2663'], ['harker, professor a', '43548'], ['smith, dr s', '73544'], ['harding, professor j', '44257'], ['gale, dr j', '29332'], ['tildesley, professor d', '-460313'], ['allan, dr n', '33127'], ['rodger, professor pm', '93270'], ['jackson, dr ra', '35916'], ['gillan, professor m', '5916'], ['saunders, dr v', '36598'], ['leslie, dr m', '36599'], ['smith, dr w', '36600'], ['corish, professor j', '36617'], ['turpin, dr m', '36618'], ['carr, dr s', '36619'], ['mackrodt, dr w', '34911'], ['price, professor g', '25224'], ['hillier, professor i', '7332'], ['islam, professor ms', '8088'], ['rodger, dr r', '13526'], ['harris, professor kdm', '6831'], ['parker, professor sc', '21422'], ['smith, professor w', '34418'], ['clarke, professor j', '2984'], ['allan, professor nl', '213'], ['price, professor sl', '12751']], 1671]"
"GR/M07625/01","[[['hillier, professor i', '7332'], ['reynolds, professor ca', '13192'], ['richards, professor wg', '13233'], ['richards, professor wg', '53214'], ['williams, professor i', '17139'], ['robb, professor m a', '13385'], ['sherwood, dr p', '40202']], 12463]"
"GR/L85084/01","[[['black, dr ra', '28648'], ['williams, professor r', '50320'], ['how, dr tv', '7698']], 28725]"
"GR/G24149/01","[[['oakley, dr jp', '65698'], ['taylor, professor cj', '15576'], ['xydeas, professor c', '17634']], 188883]"
"GR/K41373/01","[[['wiltshire, professor j', '28314']], 48666]"
"GR/H16735/01","[[['wiltshire, professor j', '28314']], 83745]"
"GR/M52922/01","[[['thompson, professor g', '85100']], 69466]"
"GR/J38321/01","[[['gorham, dr d', '6128']], 106349]"
"GR/M69487/01","[[['dann, dr s', '46024'], ['hellgardt, professor k', '44380']], 174445]"
"GR/L61002/01","[[['lowe, professor g', '93829']], 53770]"
"GR/L50150/01","[[['barnes, professor p', '916'], ['lewis, professor ra', '45495'], ['cernik, professor rj', '39752']], 208261]"
"GR/K57916/01","[[['finney, professor jl', '5241'], ['bushnell-wye, dr g', '39907']], 172054]"
"GR/K79369/01","[[['warboys, professor b', '16526']], 89574]"
"GR/J31377/02","[[['jones, professor rcf', '8496']], 58774]"
"GR/J31377/01","[[['jones, professor rcf', '8496']], 68786]"
"GR/N19618/01","[[['edwards, dr da', '4702'], ['furber, professor s b', '5628']], 146175]"
