Source	Target	Type	Weight	TotalVal
17	48	Undirected	2.0	7803148
17	51	Undirected	1.0	3502897
17	52	Undirected	4.0	21888718
17	55	Undirected	7.0	3904616
17	58	Undirected	4.0	2305592
17	61	Undirected	1.0	402902
17	65	Undirected	29.0	40706890
17	66	Undirected	2.0	4658316
17	68	Undirected	9.0	19467908
17	72	Undirected	2.0	7704275
17	76	Undirected	1.0	991283
17	78	Undirected	2.0	4721030
17	79	Undirected	2.0	4887636
17	80	Undirected	3.0	5337511
17	82	Undirected	1.0	1363268
17	84	Undirected	2.0	945025
17	85	Undirected	1.0	933470
17	87	Undirected	4.0	2251219
17	88	Undirected	1.0	896741
17	95	Undirected	1.0	1255009
17	96	Undirected	8.0	3949119
17	97	Undirected	4.0	5875203
17	99	Undirected	1.0	4259176
17	102	Undirected	4.0	3167237
17	105	Undirected	3.0	1809995
17	109	Undirected	1.0	545920
17	116	Undirected	2.0	1144954
18	25	Undirected	1.0	6382161
18	36	Undirected	1.0	292576
18	60	Undirected	1.0	99058
18	66	Undirected	3.0	5285542
18	72	Undirected	4.0	1806109
18	80	Undirected	1.0	4884594
18	92	Undirected	1.0	6382161
18	97	Undirected	1.0	4884594
18	101	Undirected	1.0	6382161
19	23	Undirected	1.0	416690
19	30	Undirected	1.0	2503462
19	35	Undirected	1.0	1223982
19	40	Undirected	2.0	1055738
19	52	Undirected	2.0	7796157
19	56	Undirected	1.0	483159
19	74	Undirected	1.0	1415336
19	88	Undirected	1.0	572579
19	93	Undirected	1.0	1223982
19	106	Undirected	4.0	5725544
19	116	Undirected	6.0	8824651
19	117	Undirected	1.0	1415336
19	118	Undirected	1.0	572579
20	24	Undirected	1.0	96651
20	25	Undirected	3.0	1579646
20	26	Undirected	1.0	1325121
20	53	Undirected	7.0	15778752
20	85	Undirected	1.0	101608
20	90	Undirected	2.0	1925805
20	91	Undirected	4.0	2477415
20	92	Undirected	13.0	25641232
20	104	Undirected	1.0	101608
22	27	Undirected	3.0	5595611
22	40	Undirected	8.0	7173794
22	55	Undirected	3.0	4617885
22	59	Undirected	1.0	100629
22	68	Undirected	6.0	2543354
22	80	Undirected	2.0	116835
22	81	Undirected	9.0	10704963
22	82	Undirected	4.0	1485547
22	84	Undirected	2.0	844463
22	85	Undirected	1.0	70402
22	87	Undirected	9.0	5909174
22	88	Undirected	6.0	11980457
22	93	Undirected	1.0	4501050
22	97	Undirected	1.0	97812
22	105	Undirected	1.0	100629
23	24	Undirected	4.0	4899467
23	25	Undirected	2.0	4346758
23	26	Undirected	1.0	477780
23	27	Undirected	1.0	161542
23	28	Undirected	3.0	4761880
23	30	Undirected	1.0	1400235
