Id	Label	Num
45429	bradley, professor jw	4	
1801	bradley, professor m	4	
45677	bradley, professor m s a	1	
-161248	bradshaw, dr d	1	
-157747	bradshaw, professor mj	1	
-127568	brady, dr ec	1	
79518	brady, professor sir jm	2	
54005	brady, professor tm	1	
-286763	braganca, dr rmd	1	
-519709	braithwaite, mr pa	1	
37967	braithwaite, professor ns	1	
-10819	brambilla, professor g	2	
-422193	brambley, dr ej	1	
82213	brammer, professor l	1	
71506	brandani, professor s	4	
68130	brandon, professor np	12	
-454478	branson iii, dr d t	1	
-1237	brazier, professor re	1	
107644	brechin, professor ek	4	
-115825	brennan, dr aj	3	
-529868	brennan, dr p	1	
36367	brennan, professor fp	3	
1898	brenton, professor ag	1	
86016	bresme, professor f	1	
-547461	brett, ms a	1	
99170	brett, professor d	13	
-426799	brettschneider, dr j a	1	
-398776	brevis, dr w	2	
90575	breward, professor c	1	
89714	brewster, dr c	1	
49445	brewster, professor sa	1	
-248888	bricker, miss s	1	
73675	bridgeland, professor t	1	
-126294	bridgens, dr bn	2	
1924	bridgwater, professor av	4	
-460230	briggs, dr j	1	
77862	briggs, professor gad	1	
-86618	briggs, professor p	4	
-158643	briggs-goode, dr a	1	
-512530	brimijoin, dr wo	1	
27094	brindle, professor k	1	
34540	bristowe, dr p	2	
93532	britovsek, dr gjp	1	
-108747	brittain, dr kr	1	
-429500	britton, dr t b	1	
71064	brocchini, professor sj	2	
71579	brodzki, professor j	1	
-439280	broecker, dr j	2	
-26259	broersma, professor h	1	
-119007	bromiley, dr gd	1	
-164375	brooke-taylor, dr ad	1	
1994	brookes, mr dm	1	
102051	brookes, professor n	1	
-258048	brostow, dr gj	2	
-95896	brotherston, dr j	2	
2018	brouard, professor m	1	
-190766	brousseau, dr eb	1	
-108034	brown, dr ap	2	
92216	brown, dr cta	2	
-9324	brown, dr e	2	
-154576	brown, dr g	2	
-162396	brown, dr jm	1	
59531	brown, dr k	2	
-534752	brown, dr l	1	
106056	brown, dr m	3	
-372746	brown, dr ma	3	
-109103	brown, dr mr	2	
-262265	brown, dr s	1	
-130573	brown, dr twc	1	
-244873	brown, professor a	2	
28045	brown, professor a	1	
-463277	brown, professor a w	1	
