Id,Label,Num,Val
2493,cameron, professor pj,1,150000
32414,cameron, professor re,1,1402267
100807,campbell, dr aj,1,355949
-251388,campbell, dr b,1,79530
126978,campbell, dr cj,2,13965864
88227,campbell, dr i,2,539447
48743,campbell, dr n,1,11683481
-507527,campbell, dr n d f,2,4953836
-213872,campbell, professor dj,1,3567862
-187814,campbell, professor eeb,2,1971809
107247,campion, dr rp,2,1210690
-439815,camporota, dr l,1,629187
37325,canagarajah, professor n,1,1362874
20557,candelas, professor p,2,992880
72333,cangelosi, professor a,1,1202384
55546,cann, dr pm,1,1057128
21851,cant, professor r,1,112759
-417030,cao, dr d,1,1587193
-227756,cao, professor w,1,108590
-217300,capdeboscq, professor ycr,1,30350
-22602,carbery, dr dr,1,3240870
37755,carbery, professor a,2,4693507
-188111,carbone, dr p,1,2839350
-98434,caretta, dr o,1,2967189
-452405,carlisle, dr r c,1,6384336
46177,carmalt, professor c,4,3769528
-484992,carnie, dr m,1,1131830
-252576,carpentieri, dr m,2,5649829
-269821,carr, dr h,1,1013147
-256975,carr, professor a,1,364338
2583,carr, professor j,2,1779559
61541,carr, professor l,4,13583838
-482522,carr-white, dr g,1,670825
-456060,carragher, dr n,1,1074212
-16562,carravetta, dr m,1,475926
119342,carre, dr mj,1,652829
57488,carrington, professor a,3,5387541
-259967,carroll, dr c,1,988105
34877,carrotte, professor j,1,5245734
2599,carsten, professor omj,2,1583345
-91630,carter, dr k,1,496909
108032,cartmell, professor sh,1,1656509
-160478,carty, dr d,1,6380561
-304448,casale, dr g,1,368053
2627,case, professor k,1,5871323
124929,casey, dr aj,2,7716739
-252570,casiraghi, dr c,2,6895485
2637,cass, professor aeg,2,1624342
101427,cassar, professor m,2,6145233
-142355,cassidy, dr d,1,693517
-108890,cassidy, dr m,3,2540409
58296,castell, professor mr,2,3571785
-485084,castellani, dr m,1,1945256
-225119,castellazzi, dr a,2,3994793
-187259,castelnovo, dr c,2,682259
2652,castro, professor i,1,182676
37521,cates, professor m,2,10665416
2663,catlow, professor r,13,22639433
-81677,caton-rose, dr p,1,825693
-118661,caulfield, professor cp,1,2321649
2673,causon, professor dm,3,1124335
103370,cavalcanti, professor alc,1,1766824
-413886,cavallaro, dr l,3,2181794
2683,cawley, professor p,5,12928963
-461122,cawthorne, dr c j,1,193197
-233635,cazin, dr c s j,1,2117953
2688,cebon, professor d,1,4423783
-242443,cegla, dr f,2,6436410
-173031,ceglarek, professor d,1,2002994
-409265,cercignani, professor m,1,148521
39752,cernik, professor rj,3,5795894
127275,ces, dr o,3,14597779
-426682,ceschin, dr f,1,1673748
-265313,cespedes, dr o,3,2469943
-492444,cha, professor s,1,415907
-353852,chachuat, dr b,2,2098930
111039,chadwick, dr a,3,8387363
-215182,chadwick, dr ekj,1,1444283
24451,chadwick, professor d,2,4206370
-476363,chakrapani rao, dr a,1,1074429
2711,chalker, professor j,1,1489109
28488,chalker, professor pr,5,7917917
82103,challenor, professor p,1,2008955
-465660,challis, professor r e,1,5411009
-184599,chalmers, dr h,3,7021415
2715,chalmers, professor a,1,840940
74172,chalmers, professor m,2,4419836
-107143,chambers, dr je,1,1671674
36938,chambers, professor j,2,2439719
46021,champness, professor nr,1,1229895
34187,champneys, professor ar,2,4717816
-481535,chana, dr d,1,203506
2755,chantler, professor m,2,860459
29315,chaplain, professor maj,2,2148909
-434125,chapman, dr m,1,893883
28462,chapman, professor dn,3,10240903
-111594,chapon, professor l,1,1491903
21839,chappell, dr mj,2,1544897
-511776,charbonneau, dr c,2,2167687
75469,charles, dr ea,2,2349982
105998,charlton, dr mdb,1,10220725
-26224,charlton, dr tr,1,384576
2803,charlton, professor m,1,590478
-300675,charnley, dr f,2,700469
-95524,charrett, dr toh,2,2010148
-109337,chater, professor n,1,1656843
-53255,chatterton, dr tj,1,268959
-193164,chatterton, professor p,1,404291
-187021,chattopadhyay, professor s,1,459893
-498502,chau, dr d,1,1925569
-159823,chaudhuri, dr b,2,4652959
30229,cheeseman, professor c,1,3820872
-201321,cheetham, professor ak,1,63651
-483488,chekhovich, dr ea,1,5638689
-210851,chen, dr j,2,2323565
-302369,chen, dr j,1,316421
-417888,chen, dr j,1,5577007
-412855,chen, dr y,1,1736109
