"GR/R60799/01","['Scattering & Spectroscopy']"
"GR/R06977/01","['Materials Characterisation', 'Materials Processing', 'Materials Synthesis & Growth', 'Materials testing & eng.']"
"GR/T00986/01","['Continuum Mechanics', 'Numerical Analysis']"
"GR/R60959/01","['Control Engineering']"
"EP/E001041/1","['Design of Process systems', 'Physical Organic Chemistry']"
"EP/E000878/1","['Design of Process systems', 'Physical Organic Chemistry']"
"GR/R08292/01","['Numerical Analysis', 'Statistics & Appl. Probability']"
"EP/E019455/1","['Gas & Solution Phase Reactions', 'Physical Organic Chemistry']"
"EP/E017878/1","['Algebra & Geometry', 'Statistics & Appl. Probability']"
"GR/S67142/02","['Biomaterials']"
"GR/S67142/01","['Biomaterials']"
"GR/R69563/01","['Rheology']"
"GR/S01986/01","['Catalysis & Applied Catalysis']"
"GR/S04109/01","['Structural Engineering']"
"GR/R63196/01","['Gas & Solution Phase Reactions', 'Scattering & Spectroscopy']"
"GR/R81510/01","['Surfaces & Interfaces']"
"GR/S12050/01","['Mathematical Analysis']"
"GR/S63861/01","['Complexity Science', 'New & Emerging Comp. Paradigms']"
"EP/H004092/1","['Fundamentals of Computing', 'Software Engineering']"
"GR/N04256/01","['Fundamentals of Computing', 'Software Engineering']"
"EP/E00041X/1","['Electrochemical Science & Eng.', 'Particle Technology', 'Reactor Engineering']"
"EP/E000665/1","['Electrochemical Science & Eng.', 'Particle Technology', 'Reactor Engineering']"
"EP/D013615/1","['Analytical Science', 'Genomics']"
"EP/D013623/1","['Analytical Science', 'Genomics']"
"EP/F019750/1","['Materials Characterisation']"
"GR/N24988/01","['Fundamentals of Computing']"
"GR/N38527/01","['Quantum Fluids & Solids']"
"EP/C009487/1","['Condensed Matter Physics', 'Instrumentation Eng. & Dev.']"
"EP/C009290/1","['Instrumentation Eng. & Dev.', 'Materials Characterisation']"
"EP/E016898/1","['Asymmetric Chemistry', 'Chemical Synthetic Methodology', 'Combinatorial Chemistry']"
"EP/D03213X/1","['Catalysis & Applied Catalysis', 'Chemical Synthetic Methodology']"
"GR/N19618/01","['VLSI Design']"
"GR/R86430/01","['Intelligent & Expert Systems', 'Mathematical Aspects of OR']"
